,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18
o0,,,,,,,,X,,X,,,,,,,,,
o1,X,,,,,,,,,,,,,,,X,,,
o2,,,,,,,,,,,,,,X,,,,,
o3,,,,,,,,,,,,,,,,,X,,
o4,,,,,,,,X,,,,,,,,,,,
o5,,,,X,,,X,,,,,,,,,,,,
o6,,,X,,,,,,,,,,,,,,,,
o7,,,,,,,,,,,,,,,,,X,,
o8,,,,,,,,,,,,,,,,,,,
o9,,X,,,,,,,,X,,,,,,,,,
o10,,,,X,,,,,,,,,,,,,,,
o11,,X,,X,,,X,,X,,,,,,,,,,
o12,,,,,,,,,X,,,,,,,X,,,
o13,,,,,X,,X,,,,,,,,,,,,
o14,,,X,,,,,,,,,,,,,,,,
o15,,,,,,X,X,,,,,,,,,,,X,
o16,,,,,,,,,,X,,,,,,,,,
o17,,,,X,,,,,,,,,,X,,,,X,
o18,,,,,,,X,,,,,,,,,,,,
o19,X,,,,,,,,,X,,,,,,X,,,
o20,,,,,,,,,,,,,,,,X,,,
o21,,,,,,,X,,,,,,,X,,,,,
o22,,,,,,X,,,,,,,,,,,,,
o23,,X,,X,,X,,,,,,,,,,,,,
o24,,,,,,,,,,,,,,,,,,,X
o25,,,,,,,,,,,,,,,,,,,
o26,,,,,,,,,,X,,,,,,,,,
o27,,,,,,,,,,,X,,,,,,,,
o28,X,,,,,,,,X,,,,,,,,,,
o29,,,,,,,X,,,,,X,,,,,,,
o30,,,,,,,,X,,,,,,,,,,,
o31,,,,,,X,,,X,,,,,,,,,X,X
o32,,,,,,,,,,,,,X,,,,,,
o33,X,,,,,,,,,,,,,,,,,,
o34,,,,X,,X,,,,,,,,,,,,,
o35,,,X,,,,,,,,,,X,,,,,,
o36,X,,,,,,,,,,,,,,,,,,
o37,,,,,,,,,,,,,,,,,,X,
