,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14
o0,,X,,,,,,X,,,X,,,,
o1,X,,,,,,,,X,,,,,,
o2,,X,,,,,,,,X,,,X,,
o3,,,,,,,,,X,,,,,,X
o4,,X,,X,,,,,,,,,,,X
o5,,X,,,,,,,,,,,X,,
o6,,X,,,,,,,X,,,,,,
o7,,,X,,,,,,X,,,,,,
o8,,,,,,,,,,,X,,,,
o9,,,,,X,,,X,,X,X,,,,
o10,,,,,,X,,,,,,,,,X
o11,,,,,,,,,,,,,,,
o12,,,,,,,,,,,,,,,
o13,,,,,,X,X,,,,,,,,
o14,,,X,,,,,X,X,,,,,,
o15,,,X,,,X,,,,,,X,,,
o16,,,,,,X,,,X,,,,,,
o17,,,,,,,,,,,,,X,,
o18,,,,,,,,,,,,,,,X
o19,,,,,,,,,,,,,,X,X
o20,,,,,X,,,,,X,,,,,
o21,,,,,,,,X,,,,,,,X
o22,,,,,,,,,,,,X,,,
o23,,,,,X,,,,,,,,,,
o24,,,X,,,,,,,X,,,,X,
o25,,,,,,,,,,,X,X,,,
o26,,,,,,,,,,X,,X,,,
o27,,,,,X,,,,,,,X,,,
o28,,,,,,,,,,,,,,,
o29,,,,,,,,,,,,,,,X
o30,,,,,,,,,,,,,,,
o31,,,,,,,,,,,,,,X,
o32,,X,,,,,X,,,,,,,,X
o33,,X,,,X,,,,,,,,,,
