,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16
o0,,,,,,,,,,,,,,,,,
o1,,,,,,,,,,,,,,,,,
o2,,,,,,,,,,,,,,,,,X
o3,,,,,,,,,,,,X,,,,,
o4,,,,,,,,,,,X,,,,,,
o5,,,,,X,,X,,,X,,,,,,,
o6,,,X,X,,,,,,,,,,,,,
o7,,,,,,,,X,,,,,,,,,
o8,,,,,,,,,X,,,,,,,,
o9,,,,,X,,,,,,,,,,,,
o10,,,,,,,,,,X,,,,,,,
o11,,,,,,,,,,,,,,,,,
o12,X,,,,,,,,,,,,,,,,
o13,X,,,,,,,,,,,,,,,,
o14,,,,,,,,,,,,,,,,,
o15,,,,,,,,,,,,,,,,,
o16,,,,,X,,,,,,,,,,,,
o17,,X,,,,,,,X,,,,,X,,,
o18,,,,,,,,,,,,,,,,,
o19,,,,,,,,,,,,,,,,,
o20,,,,,,,,,,,,,,,,,
o21,,,,X,,,,,,,,,,,,,
o22,,,,,,,,,,,,,X,,,,
o23,,,,,,,,,,,,,,,,,
o24,,,,,,,,,,,,,,,,,
o25,,,,,,,,,,,,,,,,,
o26,,,,,,,,,,,,,,X,,,
o27,,,,,,,,,,,,,,,,,
o28,,,,,,X,,X,,,,,,,,,
o29,,,,,,,,,,,,,,,,X,
o30,X,,,,,,,,,,,,,,,,
o31,,,,,,,,,,,,,,,,,
