,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20
o0,,,,,X,,,,,,,,,,,,,,,,
o1,,,,,,,,,,,,,,,,,X,,,,
o2,,,,,,,,,,,,,,,,,,,,,
o3,,,,,,,,,,,,,,,,,,,,,
o4,,X,,,X,,,,,,,,,,X,,,,,X,
o5,,,,,,,,,,,,,,,,,,,X,,
o6,,,,,,,X,,,,,X,,,,,,,,,
o7,,,,,,,,,,,,,,,,,,,,,
o8,,,,,,,,,,,,,,,,,,,X,,
o9,,,,X,,,,,,,X,,,,,,,,,,
o10,,,,,,,,,,,,,,,,,,,,X,
o11,,,,,,X,X,,,,X,,,,,,,,,,
o12,,,,,,X,,,,,,,,,,,,,,,
o13,X,,,,,,,,,,,,,,,,X,,,X,
o14,,,,,,,,,X,,,,,,,,,X,,,
o15,,,,,X,,X,,,,,,,X,,,,,,,
o16,,X,,,,,,,,,,,,,,,,,,,
o17,,,,,,,X,,,,,,,,,,,,,,
o18,,,,,,,,,,,,,,,,,,,,,
o19,,,,,,,,,,,,,,,,,,,,,
o20,,,,,,,,,,,,,,,,,,,,,
o21,,,,,,,,,,,,,,X,,,,,,,
o22,,,,,,X,,,,,,,,,,,,,,,
o23,,,,,X,,,,,,,,,,,,,,,,
o24,,,,,,,,,,,X,,,,X,,,,,,
o25,,,,,,,,,,,,,,,,,,,,,
o26,,,,,,,,,,,,X,,,,,,X,,X,
o27,,,,,,,,,,,,X,,,,,,,,,
o28,,X,X,,,,,,,,,,,,,,,,,,
o29,,,,,,,X,,,,,,,,,,,,X,,
o30,,,,,,,,,,,,,,,,,,,,,
o31,,,,,,,,,,,,,,,X,,,,,,
o32,,,X,,,,,,,,X,,,,,,,,,,
o33,,,,,,,,,,,,,,X,,,,,,,
o34,,,,,,,,,,,,,,,,,,,,,
o35,,,,,,,,,,,,,,,,,,X,X,,
o36,,,,,,,,,,,,,,,,,,,,,
o37,,,,,,,,,,,X,,,,,X,,,,,
o38,,,,,,,,,,,,,X,,,,,,,,
o39,,,,,,,,,,,,,,,,,,,,,X
o40,X,,,,,,,,,,,,,,,,,,,,
o41,,,,,,,,,,,,,,,,,,X,,,X
o42,,,,,,,,,,,,,,,,X,,,,,
o43,X,,,,,,,,,,,,,,,,,,,,
o44,,,,X,,,,,,,,,,,,,,,,,
o45,,X,,,,,,,,,,,,,,,,,,,
o46,,,,,,,,,,,,,,,,,,,,,
o47,,,,,,,,,,,,,,,X,,,,,,
o48,X,,,,,,,,,,,,,,,,,,,,
o49,,,,,,,,,,,,X,,,,,,,,,
o50,,,,,,,,,,,,,,,,X,,,,,
