,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23
o0,,,,,,,,,,,,,,,,,,,,,,,,
o1,,,,,,,,,,X,,,,,,,,,,,,,,
o2,,,,,,,,,,,,,,,,,,,,,,,,
o3,,,,,,,,,,,,,,,,,,,,,,,,
o4,,,,X,,X,,,,,,,,,,,,,,,,,,
o5,,,,,,,,,,,,,,,,,,,,,,,,
o6,,,,,,,,,,X,,,,,,,,,,,,,,
o7,,,,,,,,,,,,,,,,,,,,,,,X,
o8,,,X,,,,,,,,,,,,,,,,,X,,,,
o9,,,,,,,,X,,,,,,,,,,,,,,,,
o10,,,,,,,,,,,,,,,,,,,,,,,,
o11,,X,,,,,,,,,X,,,,,,,,X,,,,X,
o12,,,,,,,,,,X,,X,,,,,,,,,,,X,
o13,,,,,,,,,,,,,,,,,,,,,,,,
o14,,,,,,X,,,,,,,,,,,,,,,,,,
o15,,,,,,,,,,,,,,,,,,,,,,,,
o16,,X,,,,,,,,,,,,,,,,,,X,,,,
o17,,,,,,,X,,,,,,,,,,,,,,,,,
o18,,,,,,,,,,,,,,,,X,,,,,,,,
o19,,,,,,,,,,,,,,,,,,,,,,,,X
o20,,,,,,,,,,,,,,,,,,,,,,,,
o21,,,,X,,,,,,,,,,,,,,,,,,,,
o22,,,,,,,,,,,,,,,,,,,,,,,,
o23,,,,,,,,,,,,,,,,,,,,,,,,
o24,,,,,,,,,,,,,,,,,,,,,,,,
o25,,,,,,,,X,,,,,,,,,X,,,,,,,
o26,,,,,,,,,,,,,,,X,,X,,,,,,,
o27,,,,,,,,,,,,,,,,,,,,,,,,
o28,,,,,,,,,,,,,,,,,,,,,,,,
o29,,,,,,,,,,,,,,,,,,,,,,,,
o30,,,,,X,,,,,,,,,,,,,,,,,X,,
o31,,,,,,,,,X,,,,,,,X,,,,,,,,
o32,,,,,,,,,X,,,,,,,,X,,,,,,,
o33,,X,,,,,,,,,,,,,,,,,,,,,,
o34,,,,,,,,,,,,,,,,,,,,,,,,
o35,,,,,,,,,,X,,,,,,,,,,,,,,
o36,,,,,,,,,,,,,,,,,,,,,,,,
o37,,,,,,,,,,,,,,,,,,,,,,,,
o38,,,,,,,,,,,,,,,,,,,,,,,,X
o39,,,,,,,,,,,,,,,,,,,,,,,,
o40,,,,,,,,,,,,,,,,,,,,,,,,
o41,,,,,,,,,,,,,,,,,,,,,,,,
o42,,,,,,,,,,,,,,,,,,,,,,,,X
o43,,,,,,,,,,,,,,,,,,,,,,,,
o44,,,,,,X,,,,,,,,,X,,,,,,,,,
o45,,,,,X,,,,,,,,,,,,,,,,,,,
o46,,,,,,,,,,,,,,,,,X,,,,,,,
o47,,,,,,,,,,,,,,,,,,,,,,,,
o48,,,,,,,,,,X,,,,,,,,,,,X,,,
o49,,,,,,,,,,,,,,,,,,,,,,,,
o50,,,,,,,,,,,,,,,,,,,,,,,,
o51,,,,,,,,,,,,,,,,,,,,,,,,X
o52,X,,,,,,,,,,,,,X,,,,,,,,,,
o53,,,,,,,X,,,,,,,,,,,,,,,X,,
o54,,,,,,,,,,,,,,,,,,,,,,,,
o55,,,,,,,,,,,,,,,,,,,,,,,,
o56,,,,X,,,,,,,,,,,X,,,,,,,,,
o57,,,,,,,,,,,,,,,,,,,,,,,,
o58,,,,,,,,,,,,,X,,,,,,,,,,,
o59,,,,,,,,,,,,,,,,,,,,,,,,
o60,,,,,,,,,,,,X,,,,,,,,,,,,
o61,,,,,,,,,,,,,,,,,,,,,,,,
o62,,,,,,,,,,,,,,,,,,,,,,,X,
o63,,,,,,,,,,,,,,,,,,,,,,,,
