,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18
o0,,,,,,,,,,,,,,X,,,,,
o1,,,,,,,,,,X,,,,,,,X,,
o2,,,,,,,,,,,,,,,,,,,
o3,,,,,,X,,,X,,,,,,,,,,
o4,,,,,,,X,,,,X,,,,,,,,
o5,X,,,,,,,,,,,,,,,,,X,
o6,,,,,,,,X,,,,,,,,,,,
o7,,,,,,,,,,,,,,,,,,,
o8,,,,,,,,,,,,,X,,,,,,
o9,,,,,,,,,,,,,,,,,,,
o10,,,,,X,,,,,,,,,,,,,,
o11,,,,,,,,,,,,,,,,,,,
o12,,,,,,,X,,X,,,,,,,,,,
o13,,,,,,,,,,,,,,,,,,,
o14,,,,,,,,,X,,,,X,,,,,,
o15,,,X,,X,,,,,,,,,,,,,,
o16,,,,,,,,,,,,,,,,,,,
o17,,,,,,,,,,,,,,,,,,,
o18,,,,,,,,,,,,,,,,,,,
o19,,,,,,,,,,,,,,,,,,,
o20,,,,,,,,,,,,,,,,,,,
o21,,,,,,,,,,,,,,,,,,,
o22,,,,,,,,,,,,,,,,,,,
o23,,,,,,,,,,,X,,,,,,X,X,
o24,,,,,,,,,,,,,,,,,,,
o25,X,,,,,,,,,,,,,,,,,,
o26,,,,,,,,,,,,,,,,X,,,
o27,X,,,,,,,,,,,,,,,,,,
o28,,,,,,,,,,,,,,,,,,,
o29,,,,,,,,,X,,X,,,,,,X,,
o30,,,,,,,,,,,,,,,,,,,
o31,,,,,,,,,,,,,,,,,,,
o32,,,,X,,X,,,,,,,,,,,,X,
