,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25
o0,,,,,,,,,,,,,,,,,,,,,,,,,X,
o1,,,,,,,,,,,,,,,,,,,,,,,,,X,
o2,,,,,,,,,,,,,,,,,,,,,,,,,,
o3,,,,,,,,,,,,,,,,,,,,,,,,,,
o4,,,,X,,,,,,,,,,,,,,,,,,,,,X,
o5,,,,,,,,,,,,,,,,,,X,,,,,,,,
o6,,,,,,,,,,,,,,,,,,,,,,,,,,
o7,,,X,,X,,,,,,,,,,,,,,,,,,,,,
o8,,,,,,,,,,,,,,,,,,,X,,,,,,,
o9,,,,,,,X,,,,X,,,,,,,,,,,,,,,
o10,,,,,,,,,,,,,,,,,,,,,,,,,,
o11,,,,,,,,,,,X,,,,,,,,,,,,,,,
o12,,,,,,,,,,,,,,,,,,,,,,,,X,,
o13,,,,,,,,,,,,,,,,,,,,,,,,,,
o14,,,,,,,,,,,,,,,,,,,,,,,,,,
o15,,,,,,,,,,,,,,,,,,,,,,,,,,
o16,,,,,,,,X,,,,,,,,,,,,,,,,,,
o17,,,,,,,,,,,,,,,,,,,,,,,,,,
o18,,,,X,,,,,,,,,,,,,,,,,,,,,X,
o19,,,,,,,,,,,,,,,,,,,,,,,,,,
o20,,,,,,,,,,,,,,,,,X,,,,,,,,,
o21,,,,,,,,,,,,,,,,,,,,,,,,,,
o22,X,,,,,,,,,,,,,,,,,,,,,,,,,
o23,,,,,,,,,,,,,,,,,,,,,,,,,,
o24,,,,,,,X,,,,,,,,,,,,,,,,,,,
o25,,,,,,,,,,,,,X,,,,,,,,,,,,,
o26,,,,,,,,,,,,,,,,,,,,,,,,,,
o27,,,,,,,,,,,,,,,,,,,,,,,,,,
o28,,,,,,,,,,,,,,,,,,X,,,,,,,,
o29,,,,,,,,,,,,,,,,,,,,,,,,,,
o30,,X,,,,,,,,,,,,,,,,,,,,,,,,
o31,,,,,,,,,,,,,,,,,,,X,,,,,,,
o32,,,,,,,,,,,,,,,,,,,,,,,,,,
o33,,,X,,,,,,,,,,,,,,,,,,,,,,,
o34,,,,,,,,,,,,,,,,,,,,,,,,,,
