,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12
o0,,,,,,,,,,,X,,X
o1,,,,,,,,X,,,,,
o2,,,X,,X,,,,,,,,
o3,,,,,,X,,,,,,,
o4,,X,,,,X,,,,,,,
o5,,,,X,,X,X,,,,,,
o6,,X,,,,,,X,,X,,X,
o7,,,,,,,,,,,,,
o8,,,X,,,X,,,,,,X,
o9,X,,,,,,,,,X,,,
o10,X,,,,,,,X,,,,,
o11,,X,,,,,,,,X,X,,
o12,X,X,,,,,,,,X,,,
o13,,,,,,,,,,,,,
o14,,,,,,,,,,,,X,
o15,X,,,,,,,,,,,,
o16,X,,,X,,X,,,,,,,X
o17,,,,,X,,,X,,,,,
o18,X,,,,,,,,,X,,,
o19,X,,,,,X,,,,,,,X
o20,,,,X,,,,,,,X,,
o21,,,X,X,,,,X,X,,,,
o22,,X,,X,,,,,,,X,,
o23,,X,X,,,,,,,X,X,,
o24,,,,,,,,,,,,,
o25,X,,,,,X,X,,,,,,X
o26,X,,,,,,,,X,,,,
o27,,X,,,,,,,,,X,X,
o28,X,X,,X,,,,,X,,,,
o29,,,,,,,,,,,,,
o30,,,,,,,,X,,,X,,
o31,X,,,,,,X,X,,,,X,
o32,,,X,,,,,,,X,,,
o33,X,,,,,,,X,,,X,,
o34,,,,,X,,,,,,,X,
o35,X,,,,,X,,X,,,,,
o36,,,,,X,X,,,X,,X,,
o37,X,,,,,,,,,,,,
