,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12
o0,,X,,,,,,,,,,,
o1,,,,X,,,,,,,,,
o2,,,,,,,,,,,,X,
o3,,,,,,,,,,,X,,X
o4,,,X,,,,,,,,,,
o5,,,,,,,,,X,,,,
o6,,,,,,,,,,,X,,
o7,,,,,,,,,,,,,
o8,X,,,,,,,,,,,,
o9,,,,,,X,,X,,,,,
o10,,,,,,,,,,,X,,
o11,,,,,,,,,,,,,
o12,,,,,,,,,,,,,
o13,,,,,,,X,,,,,,
o14,,X,,,,,,,,,,,
o15,,,,,,X,,,,,,,
o16,,,,,,,,,,,,,
o17,,,,,,,,,,,,,
o18,,,,,,,,,,,,,
o19,,,,,X,X,,,,,,,
o20,,,,,,X,,,,,,,
o21,,,,,,,,,,,,,
o22,X,,,X,,,,,,,,,
o23,,X,,,,,,,,,,,
o24,X,,,,,,,,,,,,
o25,,,,,,,,,,,,,
o26,,,,,,,,,,,,,
o27,,,,,,,,,,,,,X
o28,,,,,,,,,,,,,
o29,,,,,X,,,,,,,,
o30,,,,,,,,,,,,,
o31,,,,,,,,,,,,,
o32,,X,,,,,,,,,,,
o33,,,,,,X,,,,,,,
o34,,,,,,,,,,,,,
o35,,,,,,,,,,,X,,
o36,,,,,,,,,,,,,
o37,,,,,,,,,,,,,
o38,X,,,,,,,,,,,X,
o39,,,,,,,,,,,,,
o40,,,,,,,,,,,,,
o41,,,,,,,,,,,,,
o42,,,X,,,,,,,,,,
o43,,,,,,,,,,,,,
o44,,,X,,,,,,,,,,
o45,,,,,,,,,,,,,
o46,,,,,,X,,,,,,,
o47,,,,,,,,,,X,,,
o48,,,,,,X,X,,,,,,
o49,,,,,,,,,,,,,
o50,,,,,,,,,,,,,
o51,,,,,,X,,,,,X,,
o52,,,,,,,,,,,,,
o53,,,,,,,,,,,X,,
o54,,,,,X,,,,,,,,
o55,,,,,,,,,,,,,
o56,,,,,,,,X,,,,,
o57,,,,,,,,,,X,,,
o58,,,,,,,,,,,,,X
o59,,,,,,,,,,,,,
o60,,,,,,,,,,,,,
o61,,,X,,X,,,,,,,,
o62,,,,,,X,,,,,,,
o63,,X,X,,,,,,,,,,X
o64,,,,,,,X,,,,,,X
o65,,,,,,,,,X,,,X,
o66,,,,,,X,,,,,,,
o67,,,,,,,,,,X,,,
