,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28
o0,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,
o1,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,
o2,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
o3,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
o4,,X,X,,,,,,,,,,,,,,,,,,,,,,,X,,,
o5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o6,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
o7,,,,,,,X,X,,,X,,,X,,,,,,,,,,,,,,,
o8,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
o9,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,
o10,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,
o11,,,X,,,,,,,,,,,,,,X,X,,,,,,,,X,,,
o12,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
o13,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
o14,,,,,,,,,,X,,,X,,,,,,,X,,,,,,,,,
o15,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
o16,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,
o17,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,
o18,,,,,,,,,X,,,,,,,,,,,,X,,,,,X,,,
o19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o20,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
o21,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,
o22,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
o23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X
o24,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
o25,,,,,,,,,,,,,,,,X,,X,,,X,,,,,,,,
o26,,,,,X,,,,,,,,,,X,,X,,,X,,,,,,,,,
o27,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
o28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o29,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,
o30,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,
o31,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,
o32,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,
o33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o34,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
o35,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
o36,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,
o37,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
o38,X,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,
o39,,,X,,X,,,,,,,,,,,,,,,,,,,,,X,,,
o40,,,,,,,,,,,,X,,,,,X,X,,,,,,,X,,,,
o41,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,
o42,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
o43,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,
o44,,,,,,,,,,X,,,,,X,,X,,,,,,,,,,,,
o45,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,
o46,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X
o47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
