,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18
o0,X,,,,,,,,,,X,,,,,,,,
o1,,,,,,,,,,,,,,,,,,,
o2,,,,,,,,,,,,,,,X,,,,
o3,,X,,,,,,,,,,,,,,,,,
o4,,,,,,,,,,,X,,,,,,,,
o5,,,,,,,,,,,,,,,,,,,
o6,,,,,,,,,,,,,,,,X,,,
o7,,,,,,X,,,,,,,,,X,,,,
o8,,,,,,,,,,,,,,X,,,,,X
o9,,,,,,,,,,,,,,,,,,,
o10,,,,,,,,,,,,,,,,,,,X
o11,,,,,,,,,,,,,,X,,,,,
o12,,,,,,,,,,,,,,,,,,,
o13,,X,,,,,,,,,,,,,,,,,
o14,,,,,,,,,X,,,,,,,,,,
o15,,,,,,,,,,,,,X,,,,,,
o16,,,,,,,,,,,,,,X,,,,,
o17,,,X,,,X,,,,,,,,,,,,,
o18,X,,,,,,,,,,,,,X,,,,,
o19,,,,,,,X,,,,,,,,,,,,
o20,,,,,X,X,,,,,X,,,,,X,,,
o21,,,,,,,,,,,X,,,,,,,,
o22,,,,,,X,,,,,,,,,,,,,
o23,,,,,,,,,,,,,,,,,,,X
o24,,,,,,,X,,,,,,,,,,,,
o25,X,,,,,,,X,,,,,,,,,,,
o26,,,,,,X,,,,,,,,,,,,,
o27,X,,,X,,,,,,,,,,,,X,,,X
o28,,,,,,,,,,,,,,,,,,,
o29,,,,,X,,,,,,,,,,,,,,
o30,,,,X,,,,,,X,,X,X,,,,,,
o31,,,,,X,,,,,X,,,,X,,,,,
o32,,,,,,,,,,,,,,,X,,,,
o33,,,,,,,,,,,X,X,X,,,,,,
o34,,,,,,,,,,,,,,,,,,,
o35,,,,,,,,,,,,,,,,,,,
o36,,,,,X,,,,,,,,,,,,,,
o37,,,,,,,,,,,,,,,,,,,
o38,,,X,,,,,,,,,,,,,X,,,
o39,,,,,,,,,X,,,,,,,,,,
o40,,,,,,,,,,,X,,X,X,,,,,
o41,,,,X,,,,,,,,X,,,,,,,
o42,,,,X,,,,,,X,,,,X,,,,,X
o43,,,,,X,,,X,,,X,,,,,,,,
o44,,,,,,,,,,,,,,,X,,,,
o45,,,,,,X,,X,,,,,X,,,,,,
o46,X,,,,,X,,,,,,,,,X,,,,
o47,,,,,,X,,,,,,,,,,,,,
o48,X,,,,,,,,,,,,,X,,,,,
o49,,,,,,X,,,X,,,,,,,,,,
o50,X,,,,,,,,,,,,,,,,,,
o51,,,,,,,,,,,,,,,,,,,
o52,,,,,,,,,,,,,,,,,,,
o53,,,,,,,,,,,,,,X,,,X,,
o54,,X,,,,,,,,X,X,,,,,,,,
o55,,,,,,,,,,,,,,,,,,,
