,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16
o0,,,X,X,X,,,,,,,X,,,,,
o1,,,X,X,,,,,,,X,,,X,,,
o2,,X,,,,,X,X,X,,,,,,X,,X
o3,,,,,X,,,,,,,,,,,,
o4,,,,,,X,,,,,,,,X,X,,
o5,,X,,X,X,,,,,,X,,,,,,
o6,,,,,,,,,,,,,,,X,X,
o7,,,,,,,,,,,,,,,,,
o8,,X,,X,X,,,,X,,,,X,,,,
o9,,,,,,,,,,,,,,,,X,
o10,,,X,X,X,,,,,X,,,,,,,
o11,,,,,,X,,,,,,X,X,,,,
o12,,,,,,,,,,,,,,,,X,
o13,,,,,,,,,,,,,,,,,
o14,,,,,,X,,,X,,,X,,,,,
o15,,,X,X,,,,,,X,,,,,X,,X
o16,,X,,,,,,,,X,,X,,,,,X
o17,,,,,,X,X,,,,,X,,,,,
o18,,,X,,X,X,,,,,,,,,,,X
o19,,,,,,,,,,,,,,,,,
o20,X,X,,,,,X,,,X,,,,,,,
o21,,,,,,X,X,,X,,,,,,,,
o22,,,X,,X,,,,,,,,X,,X,X,X
o23,,,,X,X,,X,,X,,,,,,,,
o24,,,,,,X,X,,,X,,,,,,,
o25,X,,,X,X,,,,,,,,,,,,
o26,,X,,X,,X,X,,,,,,,X,,,
o27,,,,,,,,,X,X,,,,,,,
o28,,,,,X,,,,,,,,X,X,,,
o29,X,,X,,,,,,,,,,,,,,
o30,,,,,,,,,,,,,,,X,X,
o31,,,,,X,X,X,,,X,,,,,,,
o32,,,,X,,,,,,,,,,,,,
o33,,,X,,X,,,,,,,,,,,X,
o34,,,,,,,,,,,,,X,,,,
o35,,,,X,,,,,,,,,,,,,
o36,,,,,,,X,X,,X,,,,,,,
o37,,,,,,,,,,,,,,,,X,
o38,,X,,,,,,,,,,,,,,,
o39,X,,,,,,,,,,,,,,,,
