,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13
o0,,,,,,,,,,,,,,
o1,,,,,,,,,,,,,,
o2,,,,,,X,,,,,,,,
o3,,,,,,,,,,,,,,
o4,,,,,X,,,,,,,,,
o5,,,,,,,,,,,,,,
o6,,,,,,,,,,,X,X,,
o7,,,,,,,,,,,,,,
o8,,,,,,,,,,,,,,
o9,,,,,X,,,,,,,,,
o10,,,,,,,,,,,,,,
o11,,,,,,,,,,,,,,
o12,,,,,,,,,,,,,,
o13,,,,,,,,,,,,,,
o14,,,,,,,,,,,,,,
o15,,,,,,,,,,,,,,
o16,,,,,,,,,,,,,,
o17,,,,,,,,,,,,,,
o18,,,,,,,,,,,,,,
o19,,,,,,,,,,,,,,X
o20,,,,,,,,,,,,,,
o21,,,,,,,X,,,,,,,
o22,,,,,,,,,,X,,,,
o23,X,,,,,,,,,,,,X,
o24,X,,,,,,,,,,,,,
o25,,,,,,,,,,,,,,
o26,,,,,,X,,,,,,,,
o27,,,,,,,,,,,,,,
o28,,,,,,,,,,,,,,
o29,,,X,,,,,,,,,,,
o30,,,X,,,,,,,,,,,
o31,,,,,,,,,,,,,,
o32,,,,,,,,,,,,,,
o33,,,,,,,,,,,,,,
o34,,,,,,,,,,,,,,
o35,,,,,,,,,,,,,,
o36,,,,,,,,,,,,,,X
o37,,,,,,,,,,,,,,
o38,,,,,,,,,,,,X,,
o39,,,,,,,,,,,,,,
o40,,,,,,,,,,,,,,
o41,,,,,,,,,,,,,,
o42,,X,,X,,,,,,,,,,
o43,,X,,,,,,,,,,,,
o44,,,,,,,,,,,X,,,
o45,,,,,,,,,,,,,,
o46,,,,,,,,,,,,,,
o47,,,,,,,,,,,,,,
o48,,,,,,,,,,,,,,
o49,,,,,,,,,,,,,,
o50,,,,,,,,,,,,,,
o51,,,,,,,,,,,,,,
o52,,,,,,,,,,,,,,
o53,,,,X,,,,,,,,,,
o54,,,,,,,,,,,,,,
o55,,,,,,,,,,,,,,
