,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23
o0,,,,,,,,,,,X,X,,,,,,,,,,,,
o1,,,,,,,,,,,,,,,,,,,,,,,,
o2,,X,,,,X,,,,,,,,,,,,,,,,,,
o3,,,,,,,,X,,,,,,,,,,,,,,,,
o4,,,,,,,,,,,,,,,,,,,,,,,,
o5,,,,,,,,,,,,,,,,,,,,,X,,,
o6,,,,,,,X,,,,,,,,,,,,,,,,,
o7,,,,,,,,,,,,,,,,,,,,,,,,
o8,,,,,,,,,,,,,,,,,,,,,,,,
o9,,,,,,,,,,,,,,,,,,,,,,,,
o10,,,,,,,,,,,,,,,,,,,,,,,,
o11,,,,,,,,,,,,,,,,,,,X,,,,,
o12,,,,,,,,,,,,,,,,,,X,,,,,,
o13,,,,,,,,,,,,,,,,,,,,,,,,
o14,,,,,,,,,,,,,,,,X,,,,,,,,
o15,,,,,,,,,X,,,,,,,,,,,,,,,
o16,,,,,,,,,,,,,,,,,,,,,,,,
o17,,,,,,,,,,,,,,,,,,,,,,,,
o18,,,,,,,,,,,,,,,,,,,,,,,,
o19,,,,,,,,,,,,,,,,,,,,,,,,
o20,,,,,,,,,,,,X,,,,,,,,,,,,
o21,,,,,,,,X,,,,,,,,,,,,,,,,
o22,,,,,,,,,,,,,,,,,,,X,,,,,
o23,,,,,,,,,,,,,,,,,,,,,,,,
o24,,,,,,,,,,,,,,,,,X,,,X,,,,
o25,,,,,X,,,,,,,,,,,,,,,,,,,
o26,,,,,,,,,,,,,,,,,,,,,,,,
o27,X,,,,,,X,,,,,,,,,,,,,,,,,
o28,,,,,,,,,,,,,,,,,,,,,,,,
o29,,,,X,,,,,,X,,,,,,,,,,,,,,
o30,,,,,,,,,,,,,,,,,,,,,,,,
o31,,,,,,,,,,,,,,,,,,,,,,,,
o32,,,,,,,,,,,,,,,,,,,,,,,X,
o33,,,,,,,,,,,,,,,,,,,,,,,,
o34,,,,,,,,,,,,,,,,,,,,,,,,
o35,,,,,,,,,,,,,,,,,X,,,,,,,
o36,,,,,,,,,X,,,,,,,,,,,,X,,,
o37,,,,,,,,,,,,,,,,,,,,,,,,
o38,X,,,X,,,,,,,,,,,,,,,,,,,,
o39,X,,,,,,,,,,,,,,,,,,,,,,X,
o40,,,,,,,,,,,,,,X,,,,,,,,,,
o41,,,,,X,,,,,,,,,,,,,,,,,,,
o42,,,,,,,,,,,,,,,,,,,,,,X,,
o43,,,,,,,,,,,,,,,,,,,,,,,,
