,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13
o0,,,,X,,,,X,,,,,,
o1,,,,,,,,,,,,,,
o2,,,,,,,,,X,,,,,
o3,,,,,,,X,,,,,,X,
o4,,,X,,,,X,,,,,,,
o5,,X,,,,,,,,,,,,
o6,X,,,,,,,,X,,,,,
o7,,,,,X,,,,,,,,,
o8,,,,,,,,,,,X,,,
o9,,,,,,,,X,,X,,,,
o10,,,,X,,X,,X,,,,,,
o11,,X,,,,,,,,,X,,,
o12,,,,X,,,X,,,,,,X,X
o13,,,,X,X,,,,,,,,,X
o14,,,,,,,,X,,,,,,
o15,X,,,,,,,,,,X,,X,
o16,,X,,,X,,,,,,X,,,
o17,X,,X,,,,,,,X,,,,
o18,X,,,X,X,,X,,,,,,,
o19,,,,,,,X,,,,X,,,
o20,,X,,,,,,,,,,,,
o21,,,,,,,,,,,,,,
o22,,,X,,,,,,,,X,,,
o23,,,,,,,,,,,,,,
o24,,,,,,,X,,,,,X,,
o25,,,,,,,,,,,,,,
o26,,,,,,,,,,,X,,,X
o27,,,,,,,,,,,,,X,
o28,,,,,,,,,,X,,,,
o29,,,,,,,,,,,,,,
o30,,,,,,,,,,,,,,
o31,,,X,,,,,,,,,,X,
o32,,,,,,,X,,,,,,,X
o33,,,,,,,,,,,,,X,
o34,,,,,,,,,,,,X,,
o35,,,,,,X,,,,,,,,
o36,,,,,,,,,,,,,,
o37,,,,,,,,,,,,,,
o38,,,,X,,,,,,,,,X,
o39,,,,,,X,,,,,,,,
o40,X,X,,,,,,,,,X,,,
o41,,,,,,,,X,,X,,,,
o42,,,,,,,,,,,,,,
o43,,X,,,,,,,,,,,,
o44,,X,,,,,,,,X,X,,,
o45,,,,,,,,,,,,,,
o46,,,X,,,,,,X,,,,,X
o47,,,,,,,,,,,X,,,
o48,,,X,,,,,,,,,,,
o49,,,,,,,,,,,,X,,
o50,,,,,,,,,,,,,,X
o51,,,,,,,,,,,,,,
o52,,,,X,,X,,,,,,,X,
o53,,,,,,,,,,,,,,
o54,,,,,,,X,X,,,,,,
o55,,,X,,,,,,,,,,,
o56,,,,,,,X,,,,,,,
o57,,,,,,X,,,,,X,,,
o58,,,X,,,,X,X,,,,,,
o59,,,X,,X,,,,,,,,,X
o60,,,,X,,,,,,,,,,X
o61,,,,,,,,,,,,,,
o62,,,X,,,X,X,,,X,,X,,
o63,X,,,,,,,,,,,,,X
o64,,,,,,,,,,,,,,
o65,,X,X,,,,,,,,,X,,
