,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24
o0,,,,,,,,,,,,,,,,,,X,,,,,,,
o1,,,,,,,,,,,,,,,,,,,,,,,,,
o2,X,,,,,,,,X,,,,,,,,X,,,,X,,,,
o3,,,,,X,,,,,,,,,,,,,,,,,,,,
o4,,,,,,,,,X,X,,,,,,,,,,,,,,,X
o5,X,,,,X,,,,,,,,,,,X,,,,,,,,,
o6,,,,X,,,,X,,,,,,,X,,,,,,,,,,
o7,,,,,,,,,,,,,,,,,,,,,,,X,,
o8,,,,,X,,,,,,,,,,X,,,X,,X,,,,,
o9,,X,,,,,,,,,,,,,,,,,,,,,,,
o10,,,,,,,X,,,,,,,,,,,,,,,,,,
o11,,,,,,,,,,,,,,,,,,,,,,,,,
o12,,,,,,,,,,,,,,,X,,,,,,,X,,,
o13,,,,,,,,,,,,,,,,,,,,,,,,,
o14,,,,,,,,,,,,,,,,,,,,,,,,,
o15,,,,,,,,,,,,,,,,,,,,,,,,,
o16,,,,,,,,,X,,,,,,,,,,X,,,,,,
o17,X,,,,,,,,,,,,,,,,,,,,,,X,,
o18,,,,,,,,,,,,,,,,,,X,,,,,,,
o19,X,,,,,,,,,,X,,,,,,,,X,X,,,,,
o20,,,,,,,,X,,,,,,,X,,,,,,,,,,
o21,,,,,,,,,X,,,,,,,,,,,,,,,,X
o22,,,,,,,,,X,,,,,,,,,,,,,,,,
o23,,,,,,,,,,,X,,,,,,,,,,,,,,
o24,,,,,,,,,,,,,,,,,,,,,,,,,
o25,,,,,,,,,,,,,,,,,,,,,X,,,,
o26,,,X,X,,,,,,,X,,,,,,,,,,,,,,
o27,X,,,,,,,,,,,,,,,,X,,,X,,,,,
o28,,,,,,,,,,,,,,,,,,,,,,,,,
o29,,,,,,,,,,,,X,,,,,,,X,,,,,,
o30,,,,,,,,,,,,,,,,,,,,X,,,,,X
o31,X,,,,,,,,,,,,,,,,,,,X,,,,,
o32,,X,,,,X,,,,,X,,,,,,,,,,,,,,
o33,,,,,X,,,,X,,,,,,,,,,,,,,,,
o34,,,,,,,,,,,,,,,,,,,,X,,,,,
o35,X,,,,,,,,X,,,,,,X,,,,,,,,,,
o36,,,,,,,,,,,,,,,,,,,,,,,,,X
o37,,,,X,,,X,,X,,,,,,,,,,,,,,,,
o38,,,,,,X,,,,,,,,,,,X,,,,,,,,
o39,,,,,,X,,,,,,,,,,,,,,,,,,,
o40,,,,,,X,,,,,,,,,,,,,X,,,,,,
o41,X,,,,,,,,,,,,,,,,X,,,,X,,,,
o42,,,,,X,,,,,,,,,,,,,,,,X,,,,
o43,,,,,,,,,,,,,,X,,,,,,,,X,,,
o44,,,,,,,,,,,,,X,,,,,,,,,,,,
o45,X,,,,,,,,,,,,,,X,,,,,,,X,,,
o46,,,,,,,,,,,,,,,X,,,,,,,,,,
