,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11
o0,,,,,,,,,,,,
o1,X,,,,,X,,,X,,,
o2,X,X,,,,,,X,,,,
o3,,,,,X,,,X,,X,,X
o4,,,,X,,,,,,X,,
o5,,X,,,,,,,,,,
o6,X,X,,,X,,,,,X,,X
o7,,,,,X,,,,X,,,
o8,,,,,,,,X,X,X,,X
o9,,X,,,,X,X,,X,,,
o10,,,,,,,,,X,X,,
o11,,,,,,,,,,,,
o12,,,,,X,,X,,,,,
o13,,,,,,,X,,X,,X,
o14,,,,X,,,,,,,,
o15,X,,,,X,,,,,X,X,X
o16,,,,,,,,X,X,X,X,
o17,,,X,,,,,,,,,
o18,,,,,X,,,,,,,
o19,,,,,,X,,,X,,,X
o20,,,,,,X,,,,,,X
o21,,X,X,,,,,,,,,
o22,,,,,,,,,,,X,
o23,,,,X,,,X,,,,X,
o24,,X,,,,,,X,,,,
o25,,,,,,,,X,,X,X,
o26,,,,,,X,,,,,,X
o27,,X,,,,,,,X,,X,
o28,,,,X,X,X,,X,,,X,
o29,,X,,,,,,,,X,,
o30,,,X,,,,,,,,X,
o31,,X,,,,X,,,,,,
o32,,,,,,X,,X,,,X,
o33,X,X,X,,,,X,,,,,
o34,,,,,,X,,,,X,,
o35,,,,,,X,,,,X,,
o36,,X,X,,,,,,,,,
o37,X,,,,X,,,,X,,,
o38,X,,,,,,,,,,,
o39,,,,,,,,,X,,,
o40,,,,,X,,,X,,,,X
o41,,,,,,,X,X,X,,,
o42,,X,,,X,,,,,X,,
