,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11
o0,,,,X,,,,,,,X,X
o1,,,,,,,,,,,,
o2,,,,,,,,,,,,
o3,,,,,,,,,,,,
o4,,X,,,,,,,,,,
o5,,,,,,,,,,,,
o6,,,,,X,,,,,,,
o7,,,X,,,,,X,,X,,
o8,,,,,,X,,,,,,X
o9,X,,,,,,,,,,,
o10,,,,,X,,,,,X,,
o11,X,,,,,,,,,,,
o12,,,,,,,,,,,,
o13,X,,,,,,,,,,,
o14,,,,,,X,,,,,,X
o15,,,X,,,,,,,,,
o16,,,,,X,,,,,,,
o17,,,,,,,,,,,,
o18,,,,X,,,,,,,,
o19,,,,,,,,,,,,
o20,,,,,,,,,,,,
o21,X,,,,,,,X,,,,
o22,,,,,,,,,,,,
o23,,,,X,,,X,X,X,,,
o24,,,,,,,,X,,,,
o25,,,X,,,,,,,,,
o26,,,,,,,,,,,,
o27,,,,,X,,,,,,,
o28,,,,,,,X,,,,,
o29,,,,,,,,,,,,
o30,,,,,,,,,,X,,
