,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21
o0,,,,,,,,,,,,,,,,,,,,,,
o1,,,,,,,,,,,,,,,,,,,,,,
o2,,,,,,,,,,X,,,,,,,,,,,,
o3,,,,,,,,,,,,,,,,,,,,,,
o4,,,,,,,,,,,,,,,,,,,,,,
o5,,,,,X,,,,,,,,,,,,,,,,,
o6,,,,,,,,,,,,,,,,,,,,,,
o7,,,,,,,,,,,,,,,,,,,,,,
o8,,,,,,,,,,,,,,,,,,,,,,
o9,,,,,,,,,,,,,,,,,,,,,,
o10,,,,,,,,,,X,,,,,,,,,,,X,
o11,,,,,,,,,,,,,,,,,X,,,X,,
o12,,,,X,,,,,,,,,,,,,,,,,,
o13,,,,,,,,,,,,,,,,,,,,,,
o14,,,,,,,X,,,,,,,,,,X,,,,,
o15,,,,,,,,,,,,,,,,,X,,,,,
o16,,,,X,,,,,,,,,,,,,,,,,,
o17,,,,,,,,,,,,,,,,,,,,,,
o18,,,,,,,,,,,,,,,,X,,,,,,
o19,,,,,,,,,,,,,,,,,,,,,,
o20,,,,,,,,,,,,,,,,,,,,,,
o21,,,,,,,,,,,,,,,,,,,,,,
o22,,,,,,,,,,,,,,,,,,,,,,
o23,,,,,X,,,,,,,,X,,,,X,,,,,
o24,,,,,,,,,,,,,,,,,,X,,,,
o25,,,,,,,,,,,,,,,,,,,,,,
o26,,,,,,,,,,,,,,,,,,,,,,
o27,,,,,,,,X,,,,,,,,,,,,,,
o28,,,,,,X,,,,,,,,,,,,,,,,
o29,,,,,,,,,,,,,,,,,,,,,,
o30,,,,,,X,,,,,,,,,,,,,,,,
o31,,,,,,,,,,,,,,,,,,,,,,
o32,,,,,,,,,,,,,,,,,,,,,,
o33,,,,,,,,,,,,,,,,,,,,,,
o34,,,,,,,,,,,,,,,,,,,,,,
o35,,,,,,,X,,,X,,,,,,,,,,,,
o36,,,,,,X,,,,,,,,,X,,,,,,,
o37,,,,,,,,,,,,,,,,,,,,X,,
o38,,,,,,,,,,,,,,,X,,,,,,,
o39,,,X,,,,,,,,,,,,,,,X,,,,
