,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11
o0,,,,,,,,,,,,
o1,X,,,X,X,,,,,,,
o2,,,,,,,,,,,,
o3,,,,,,,,,,,,
o4,,,,,,,,,,,,
o5,,,,,,X,,,,,,
o6,,,,,,,,,,,,
o7,,,,,,,,,,,,
o8,,,,,X,,,,,,,
o9,,,,,,,,,,,,
o10,,,,,,,,,,,,
o11,,,,,,,,,,,,
o12,,,,,,,,,,,X,
o13,,,,,,,,X,,,,
o14,,,,,,,,X,,,,
o15,X,,,,,,,X,,,,
o16,,,,,,,,,,,,
o17,,,,,,,,X,,,,
o18,X,,,,,,,,,,,
o19,,,,,,,,X,,,,
o20,,,X,,X,,,,,,,
o21,,,,X,,,,,,,,
o22,,,,,,,,,,,,
o23,,,,,,,,,,,,
o24,,,,,,,,,,,,
o25,,,,,,,,,,,,
o26,,,,,,,,,,,,
o27,,,,,,,,,,,,
o28,,,,,,,,,,,,X
o29,,,,,,X,,,,,,
o30,,,,,,,,,,,,X
o31,,,,,,,,,,,,
o32,,,,,,,,X,,,,X
o33,,,,,,,,,,,,
o34,,,,,,,,,,,,
o35,,,,,,,,,,,,
o36,X,,,,,,,,,,,
o37,,,,,,,,,,,,
o38,,,,,,,,,,,,
o39,,,,,,,,,,,,
o40,,,,,,,,,X,X,,
o41,,,,,,,,,,,,
o42,,,,,,,,,,,,
o43,,,,,,,,,,,,
