,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17
o0,,,,,X,,,,,,,,,,,,,
o1,,,,,,,,,,,,X,,,X,X,,
o2,,,,,,,,,,,,X,,,X,,,
o3,,,X,,,,,,,,,,,X,,,,X
o4,,,X,X,,,,,,,X,,,,,,,
o5,,,,X,,,,,,,,,,,,,,
o6,,,,,,,,,X,,,,,,,,X,
o7,,,,,,,,,,,,,,X,,,,
o8,,X,,,X,,X,X,X,,,,,X,,,,
o9,,,,,,,,,,,,,,,,,X,
o10,,,X,,,,,,,,,,,,X,,,
o11,,,,,X,,,,,,,,,,,,,
o12,,,,,,X,,,X,,X,,,,,,,X
o13,,X,,,,,X,X,,,,X,,,,,X,
o14,,,,,,,X,,,,,,,,,X,,X
o15,,X,X,,,,,X,,,,X,,,,,,
o16,,,,,,,,,X,X,,,,,,,,
o17,,,,,,,,,,,,,,,X,,,
o18,,,,,,,,X,,,,,,,,,,
o19,,X,,,,,,X,,,,X,X,,,,,
o20,,,,,,,,X,,,,,,,,,,
o21,,,,X,X,,,,,X,X,,,,,,,
o22,,,,,,X,,,,,,,,,,,,
o23,,,,,,X,,,,X,,,,,,,,X
o24,,,X,,,,,,,,,,,,,,,
o25,X,,X,X,,,,,,,,,,,,,,
o26,X,,,,,,,,,,,,,,,,,
o27,,,,,,,,,,,,X,,,,,,
o28,X,,,,,,X,,,,,,,,,,,
o29,,,,,,X,,,,,,X,X,X,,,,
o30,,,,,,,,,,,,,,,,,,
o31,,,,,,,,,,,,,,,,,,
o32,X,,,,X,,,,,,X,,,,,,,
o33,,,,,,X,,X,,,,,,,,,,
