,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
o0,X,,,,,,,X,,X,
o1,,,,,,,,,X,,
o2,,,,X,,,,,,,
o3,,,,,,,,,,,
o4,,,,,,X,,,,,
o5,,,,,,,,,,,
o6,,,,,,,,,,,
o7,,,,,,,,,,,
o8,,,,,,,,,,,
o9,,X,,,,,,,X,,
o10,,,,,,,,,,,
o11,,,,,,,,,X,X,
o12,,,,X,X,,,,,,
o13,,X,,,,,,,,,
o14,,,,X,,,,,,,
o15,,,,,,,,,,,
o16,,,,X,,,,,,,
o17,,,,,,,,,,,
o18,,,,,X,,X,,,,
o19,,,,,,X,,,,,
o20,X,,,,,,,,,,
o21,,,,,,X,,,,,
o22,,,,,,,X,,,,
o23,,,,,,,,,,,
o24,,,,,,,,,,,
o25,,,,,,,,,,,
o26,,,,,,,,,,,
o27,,,X,,,,,X,,,
o28,,,X,,,,,,,,
o29,,,,X,,,X,,,,
o30,,,,,,,,,,,
o31,,X,,,,,,,,,
o32,,,,X,,,,,,,
o33,,,,,,,,,,,
