,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20
o0,X,X,,,,,,,X,,,X,,,,,,,,X,X
o1,,,,,,X,,,,,,,,,,,,,,,
o2,X,,X,,,,,,,,,,,,,,,X,,,
o3,,,,,,,,,X,X,,,,,,,,X,,,
o4,,,X,,,,X,,,,,,,X,,X,,,,,X
o5,X,X,,,,,,X,X,,,X,,,,,,,,,
o6,,,,,X,,,,,,,,,,,,,,,,
o7,,,,,,,,,,,,,,X,,,,,,,
o8,,,,,X,,,,X,,,,,X,X,,,,,X,
o9,,,,,,,,,,,,X,,X,,,,,,,
o10,,,,,X,,,,,,,,,,,,X,,,,
o11,,,,,,,,,X,,,,,,,,,X,,X,
o12,,,X,X,,,,,,,,,,,,,,,,,
o13,,,,,,X,,,,,,,,,,,,,,X,
o14,,,X,,X,,X,X,,,,,,X,,,,,,,
o15,,,,X,,,,,,,,,,,,,X,,,,
o16,,,,,,,X,,,,,X,,,,,,,,,
o17,,,,,X,,,,,,,,,,,,,,,,
o18,,,,,,,X,,,,,,,,X,,,,,,
o19,X,X,,,,,,,X,,,,,,,X,,,,,
o20,,,,X,,,,,,,,,,,,,,,,,
o21,,,X,,,,,,,,,,,,,X,,,,,
o22,,,,,,,,,,,,,,,,,,,,,X
o23,,,,,,,X,,,,X,,,,,,,,,,
o24,,,,,,,,,,,,,,,,,,,,,
o25,,,,,,,,,X,,,,,,,,X,,,X,
o26,,,,,X,,,,X,,,X,,,,,,,,,
o27,,,,,,,,,,,,,,X,,,,,,,
o28,,,,,,,,,,,,,,,,,,,,,
o29,,,,,,,,X,X,X,X,,,X,X,X,,,,,
o30,,,,,,X,,,,,,,,,,,,,X,X,
o31,,,X,,,,,,,,,,X,,X,,,,,,
o32,,,,X,,,,,,,,,,X,,,,,,,
o33,X,,,X,,,,,,,,,,,,X,,,X,X,
o34,X,,,,,,,,,,,,,,,,,,,X,X
o35,,X,,,,,,,,,,,,,,,,,,,
o36,,,,,,,,,,,,,,,,,,,,,
