,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14
o0,,,,,,,,,,,,,,X,
o1,,,X,,,,,,,,,,,,
o2,X,,,,,,,X,,,,,,,
o3,,,,,,,,,,,,,,,
o4,,,,,,,,,,X,,X,,,X
o5,,,,,,,,,,,,,,,
o6,,,,,,,X,,X,,X,,,,
o7,,,,,,X,,,,,,,,,
o8,,,,X,,,,,,X,,,,,
o9,,,,,,,,,,,,,,X,
o10,,,,,,,,,,,,,,,
o11,,,,,,,,,,,,,,,
o12,,,,,X,,,,,,,,X,,
o13,,,,,,,,,,,,,,,
o14,,X,,,,,,,,X,,,,,
o15,,,,,,,X,,,,X,,X,,
o16,,X,X,,,,,,,,,,,,
o17,,,,,,,,,,,,,,,
o18,,,,,,,X,,,,,X,,,
o19,X,,,,,,,,,X,,,,X,
o20,,,X,,,,,,,,,,,,
o21,,,,X,,,,,,,,,,X,
o22,,,X,,X,,,,,,,,,,
o23,,,,,,,,,X,,,,,,
o24,,,,,,,,,,,,,,,
o25,,,,,,,,,,X,,,,,
o26,,,,,,,,,,,,,,,
o27,,,,,,,,,,,,,X,,
o28,,,,,,,,,,,,,,,
o29,,,,,,X,,,X,,X,,,,
o30,,,,,,,,,X,,,,,,
o31,X,,,,,,X,,,,,,,,
o32,,,,X,,,,,,,,,,,
o33,,,,,,X,X,,,,,,,,
o34,,,,,,,,,,,,,,,
o35,X,,,,,X,,X,,,,,,,
o36,,,,,,,,,,,,,,,
o37,X,,,,,,,,,,,,,,
o38,,,,X,,,,,,,,,,,
o39,,,,,X,,,,,,,,,,
o40,,,,,,,,,X,,,,,,
o41,,,,,,,,,,,,,,,
o42,,,,,,,,,,,,,,,
o43,,X,,,,,,,,,,,,,
o44,,,,,,,,,,,,,,,X
o45,,X,,,,X,,,,,,,X,,
o46,,,X,,,,,,,,,X,,,
o47,,,,,X,,,,,,,,,,
o48,,,,,,,,,,,,,,,
o49,,,,,X,,,,,,,X,,,
o50,,,,,,,,,,,,,,,
o51,X,,,,,,,,,,,,,,
o52,,X,,,,,,,,,,,X,,
o53,,,,,,,X,,,,,,,,X
o54,,,X,,X,,,,,,,,,,
o55,,,X,,X,,,X,,,,,X,,
o56,,X,,,,,,,,,,,,,
o57,,,,,,,,,,,,X,,X,
o58,,,,,,,,,X,,,,,,
o59,,,,,,,,,,,,,,,
o60,,,,X,,,,,,,,,,,
o61,,X,,,,,,,,,,,,,
