,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16
o0,,,,,,X,,,,,,,,,,,
o1,,,,,,,,,,,,,,,,,
o2,,,X,,,,,,,,,,,,,,
o3,,,,,,,,,,,,,,,,,
o4,,,,X,,,,,,,,,,,,,
o5,X,,,,,,,,,,,,,,,,
o6,X,,,,,,,,,,,,,,X,,
o7,,,,X,,,,,X,,,,,,,,
o8,,,,,,,,,,,,,,,,,X
o9,,,X,,,,,,,,,,,,,,
o10,,,,,,,,,,,,,,,,,
o11,,,,,,,,,,,,,,,,,
o12,,,,,,,,,,,,,,,,,
o13,,,,,,,,,,,,,,,,,
o14,,,,,,,,,,,,,,,,,
o15,,,,,,,,,,,,,,,,,
o16,,,,,,,,,,,,,,X,,,
o17,,,,,,,,,,,,,,,X,X,
o18,,,,,,,,,,,,,,,,,
o19,,,,,,,,,,X,,,,,,,
o20,,,,,,,,,,,,,,,,,
o21,,,,,,,,,,,,,,,,,
o22,,,,X,,,,,,,,,,,,,
o23,,,,,,,,,,,,,,,,,
o24,,,,,,,,,,,,,,,,,
o25,,X,,,,,,,,,,,,,,,
o26,,,,,,,,,,,,,,X,,,
o27,,X,,,,,X,,,,,,,,,,
o28,,,,,,,,,,,,,,,,,
o29,,,,,,,,,,,,,,,,,
o30,,,,,,,,,,,,,,,,,
o31,,,,,,,,,,,,,,X,,,
o32,,,,,,,,,,,,,,,,,
o33,,,,,,,,,,,,,X,,,,
o34,,,,,,,,,,,,,,,,,
o35,,,,,,,,,,,,,,,,,
o36,,,,,,,,,,,,,,,,,
o37,,,,,,,,,,,,,,,,,
o38,,,,,,,,,,,,,,,,X,
o39,,,,,,,,,,,,,,,,,
o40,,,,,,,,,,,,,,,,,
o41,,,,,,,,,,,,,,,,,
o42,,,,,,,,,,,,,,,,,
o43,,,,,,,,,,,,,,,,,
o44,,,,,,,,,,,,,,,,,
o45,,,,,,,,,,,X,,,,,,
