,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17
o0,X,,,,,,,X,,,,,,,,,,
o1,,,,,,,,,X,X,,X,,,,,,
o2,,,X,,,,,X,,,,,,,,,X,
o3,,,,,,,,,,,,,X,,,,,
o4,,,,,,,,,,,,,,,,,,
o5,,,,,,,,,,,,,,,,,,
o6,,,,,,X,X,,,,,,,,,,,
o7,X,X,,,,X,,,,,,,,,,,X,
o8,,,,,,,,,,,,,,,,,,
o9,X,,,,,X,,,,,,X,,,,,,X
o10,,,,,,,,,X,X,,,,X,,,,
o11,,,,,,,,,,,X,,,,,,,
o12,,,X,,,,,,,X,,,,,,,,
o13,,,,,,,,X,,,,X,,,,,,
o14,X,,X,,,,,,,X,,,,,,,,
o15,,,X,,,,,,,,,,,,,,,
o16,,X,X,,,,X,X,X,,,,,,,,,
o17,,,,,,,X,,,X,,,,,,,,
o18,,X,,X,,,X,,,,,X,X,,,,,
o19,,,,,,,,,,,,,,,,,X,
o20,,,,,X,,,,,,,,,,X,X,,
o21,,,,,X,,,,,,,X,,X,,,X,
o22,,,,,,,,,,,,,,,,,,
o23,,,,,,,,,X,,X,,,,,,,
o24,,,,X,,,,,,,,,,,,X,,
o25,,,,,,,,X,,X,,,,,,,,
o26,,,,,,X,,X,,X,,,,X,,,,
o27,,,,,,,,,,,,X,,X,,,,
o28,,X,,,,,,,,,,,,,,,,
o29,,,,,,,,,,,,,X,,,,,
o30,,,,X,,,,,,,,,,,X,,,
o31,X,,X,,X,,,,,,X,,,,,X,,
o32,,,,,,,,,,,,,,,,,,
o33,,,,,,,X,,,,,,,,,,,
o34,,,,,,,,,,,,,,,,,,
o35,,,,,,,,,X,,,,,,,,,
o36,,X,,,,,,,,,X,,,,,,,
o37,,,,,,,,,,,,,,,,,,
o38,,,,,X,,,,,,,X,,,X,,,
o39,,,,,,,,,,,,,,,,X,,
o40,,,,,,,,X,,,X,,,,,,,
o41,,,X,,,,,X,,,,,,,X,,,X
o42,,,,,X,,,,,,,,,X,X,,,
o43,,,,,,,,,X,X,,,,,,,,
o44,,,X,X,,,X,,,,,,,,,,,
o45,,,,,,,,X,,,,,,,,,,
o46,,,X,,,,,,X,,,X,,,,,,X
o47,,,,,X,,,,,,,,,,X,,,
o48,,,,,,X,,,X,,,,,,,,,
o49,,,X,X,,,,X,X,,,,,,,,,
o50,,,,,,,,,,,,,,,,,X,
o51,,,,,,,X,X,,,,,,,X,,,
o52,,,,X,,,,,X,,,,,,,,X,
o53,,,,X,,,,,,,,X,,,X,,,
o54,X,X,,,,X,X,,,,,,,,,X,,
o55,,,,,,,,,,,,,,,,,,
o56,,X,,,,,,X,,,X,,,,,,,
o57,,,,,,,,,,,,X,,,,,,
o58,,,,,,,,,,,,,,,,X,X,
o59,,X,,,,,,,,,,,,,,,,X
o60,,,,,,,,,,,,,,,,,X,
o61,,X,,,,,,,,,,,,,,,,
o62,,,,,X,,,,,,,X,,,,,,
o63,,,,,,,,,,,X,,,,,,X,
o64,,,,,,,,,,,,,,X,,,,
o65,,,X,,,X,,,,,,,X,X,,,,
o66,,,X,X,,,,,,,,,,,,,X,
