,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20
o0,,,,,X,,,,,,,,,X,,,,,X,,
o1,,X,,,,,X,X,,,,X,,,,,,,,,X
o2,,,,,,X,,,,,,,,,X,,,,,,
o3,,,,,,,,,,,,,,,X,,,,,,
o4,,,,,,X,,,,,,,,,,,,,,,
o5,,,,,X,,,,,,,,,,,,,,,,
o6,,,,,,X,,X,X,,X,,,X,,,,,,,
o7,,,,,,,X,,,,,,,,,,,,,,
o8,,,,,,,,,,X,X,,,,,X,,,,,
o9,,,,,,,,,,,,,,,,,,,,,
o10,X,,,,,,,,,,,,,,,,,,,,
o11,,,,X,,,,,,X,,X,,,,,,,,,
o12,,,,,,,,,,,,,,,,,,,,,
o13,,,X,X,,,,,,,,,,,,,,,,,
o14,,X,,X,,,,,,,,X,X,,,,,,X,,
o15,,X,,,,,,,X,,,,,X,,,,,,,
o16,,X,,,,,,,,,,,,,,,X,,,,
o17,,,,,,,,,,,,,,,,,,,,,
o18,,,,X,,,,,,,,,,,,X,,,,,
o19,,,,,X,,,,,,,X,,,X,,,,,,
o20,,,,,,,,,,,,,,X,,,,,,,
o21,,,,,,,,,,,,,,,,,X,,,,
o22,X,,,X,,,X,,,X,X,,,,X,,X,,,,
o23,,,,,,,,,,,,X,,,,,X,X,,,
o24,,X,,,,,,,,,,,,,X,,,,,,
o25,,X,,X,X,,,,,,,,,,,,,,,,
o26,,X,,,,,,,,,,,,X,,,,,X,X,X
o27,,,,,,,,,,,,,,,,,,,,,
o28,X,X,,,X,,X,,,,,,,,,,,,X,,
o29,,,,,,,,,,,,,,,,,,,,,
o30,X,,,,,,,,,,,,,,,X,,,,,X
o31,,,,,,,,,,,,,,,,,,,,,
o32,,X,,,,,,,,,,,,,X,X,,,,,
o33,,,,,X,,,,,,,,,,,,X,,,X,
o34,,,,,,,X,,,,,,,X,,,X,,,,
o35,,,,,X,,,,,,X,,,,,,,,,,
o36,,,,,,,,,,,,,,,X,,,X,,,
o37,,X,,,,,,,,,,,X,,,,,,,,
o38,X,,,,X,,,X,,,,,,,,,,,,X,
o39,,,X,,,,,,,X,,,,X,,,,X,,X,
o40,,,,,,,,X,,,,,,,,,,,,,
o41,,,X,,,,,,,,,,X,,,,X,,,,
o42,,,,,,,,,,,,,,,,,,X,,,
o43,,,,,,,,,,,,,,,,,,,,,
o44,,,,,,,,,X,,,,,,,,,,,,X
o45,X,,,,X,,,,X,,,,,,X,,,,,,
o46,,,,,,,X,,X,,,,,,,,,,,,
o47,,,,,,,,,,,X,,X,,X,,X,,,X,
o48,,,,,X,X,,,,,,X,,,X,,,,,X,
o49,,,,,,,,,,,,,,,,,,,,,
o50,,,,,,,,,,,X,,,,X,,,,,,
o51,,,,,,,,,X,,X,X,,,,,,,,,
o52,,,,,,X,,X,X,,,,X,X,X,,,X,,X,
o53,,,X,,,,X,,,X,,,,X,,,,,,,
o54,,,,,,,,,,,X,,,,,,,,,,
o55,X,,,,,,,,,,,,,,,,,,,,
o56,,,,X,,,,,,,,X,,,,,,X,,,
o57,,,,X,,,,,,,,,,,,,,X,,,
o58,X,,,X,,X,,,,,,,,,X,,,,X,,
o59,,,X,,,,,,,,,,,,,,X,,X,,
o60,,,,X,,,,,,X,X,X,,,,,,,X,,
o61,,X,,,X,,,,,,,,,,,,X,,,X,
o62,X,,X,,,,,,,,,,,,X,,,,,,
o63,X,,,,X,X,,,,X,,,,,,,,X,,,
