,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9
o0,,,,,,,,,,
o1,X,,,,,,,X,,
o2,,X,,,,,,,X,
o3,,,,,,X,X,,,
o4,,,,,,,,,,
o5,,,X,,,,,,,
o6,,,,,,,,,,
o7,,,,X,X,,,,,
o8,,,,X,,,,,,
o9,,,X,,,,,,,
o10,,,X,,,X,,,,
o11,,X,,,,,,,,
o12,,X,,X,,,,,X,
o13,X,,X,,X,X,,,X,
o14,X,,,,,,,,,
o15,,,,,,,,X,,
o16,,,,,,X,,,,
o17,,,X,,,,,X,,
o18,X,,,,,,,X,,
o19,,X,,,,,,,X,
o20,,X,,,,,,X,X,
o21,,,,,,,,X,X,
o22,,,,X,,,,,,
o23,,,,,X,X,,,X,
o24,X,,,,,,,,X,
o25,,,,,,,,,,
o26,,,X,,X,,,,,
o27,X,,,,,,,,,X
o28,,,,,,,,,X,X
o29,,,,,,,,,,
o30,,,,,,,,X,X,
o31,,,,,,,,,,X
o32,,,,,,,,,,
o33,,X,X,,,,,,,
o34,,,,,,X,,,,
o35,,,,,,X,,,,
o36,,,,,,,,,,
o37,,X,,,,X,,,X,
o38,,,,,,,,,,
o39,,,,,,,,,,
o40,,,,,,,,,,
o41,,,,,,,,,,
o42,,,,,,,,,,
o43,,,,,X,,,,,
o44,,,X,X,,,,,,
o45,,,,,,,,,,
o46,X,,,X,,,,,,
o47,,,,X,,,,,,
o48,,,,,X,,,,,
o49,,X,,,,,X,,,
o50,,,,,,,,,,
o51,,,,,,,,,,
o52,,,,,,,X,,,
o53,X,,X,,,,,,,
o54,,X,,,,,,,,X
o55,,,,,,,,,X,
o56,,,,,,,,,,
