,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
o0,,,,,X,X,,X,,,
o1,X,X,,,,,X,,,X,
o2,X,,,,,,,X,,,
o3,X,,,,,,,,,X,
o4,,,,,,,X,X,X,X,
o5,X,,,X,,,,,,,
o6,,X,X,,,,X,,,,
o7,X,,,X,,,,X,,,
o8,X,,,,,,X,X,,X,
o9,,,X,X,,,X,,,X,X
o10,,X,X,X,,,,,,,X
o11,X,,,,,,X,,,X,
o12,,,,,X,,X,,,,X
o13,X,X,X,X,X,X,X,,,,X
o14,,X,,X,,,,X,,,
o15,,X,,,X,,,,X,,
o16,,X,,X,X,X,X,X,,,X
o17,,,,,,,X,,,,
o18,,,,X,X,X,X,,,,
o19,,,X,,,X,,,X,,X
o20,,,,,,,X,,,X,
o21,X,,,,X,X,,,X,X,
o22,X,,X,X,X,,,,X,,X
o23,,,,X,X,X,,,,,X
o24,,,,,,X,,,,,X
o25,,,,X,,,,X,,X,X
o26,,X,,X,X,,,,X,X,
o27,,,,X,,,X,,,,X
o28,,X,,,X,,,X,,X,
o29,,,,,,,,,,,
o30,X,X,,,,,,,,,
o31,X,X,X,X,,X,,,X,X,
o32,,,,,X,X,,X,,,
o33,,X,,,,,,,,X,
o34,,X,X,X,,,,,X,,
o35,,,,X,,,X,,,X,X
o36,,,,X,,,,,,X,
o37,,,,,,,,X,,X,
o38,,X,X,,X,,,X,X,,X
o39,X,,X,X,X,,,X,,,
o40,,,X,X,X,,,X,,,X
o41,X,X,X,X,X,,,X,X,,
o42,X,X,,,X,,,,,X,
o43,X,,X,,X,X,,,X,X,
o44,,,,X,,,,,X,X,
o45,,,,X,X,,,,,,
o46,,,,,,,X,X,X,,X
o47,,X,,X,X,,,,X,,
o48,X,,,X,,,X,,X,X,X
o49,X,X,X,X,X,,X,,X,X,
o50,,,,,,,,X,X,,
o51,X,X,,,,,,,X,,
o52,,X,,,X,X,,,X,,
o53,,,,,X,,,X,,,
o54,,,,,,X,X,,,,X
o55,X,X,,X,X,X,,,,X,X
o56,,,X,,,,,X,X,,
o57,,X,X,,,,,,,,
o58,X,,,X,X,X,X,,,,X
o59,X,,,,X,,X,X,,X,X
o60,X,,X,,X,X,X,,X,,X
o61,,,,,,,X,,,,
o62,,X,,,,,,,X,,X
o63,,,X,,,,,,X,X,X
