,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18
o0,,X,,,,,,X,,,,,,,,,,,
o1,,,,,,,,,,,,,,,,,,,
o2,,,,,,,,,,,,,,,X,,,,
o3,,X,,,,,,,,,,,,,,,,,
o4,,,,X,,,,,X,,,X,,,,,,,
o5,,,,X,,,,,,,,,,,,,,,
o6,,,,,,,,,,,,,,,X,,,,
o7,,,,,,,,,,,,,,,,,,,
o8,,,,,,,X,,,,,,,X,,,,,
o9,,X,X,,,,,,,,,,,,,,,,
o10,,,,,,,,,,,,,,,,,,,
o11,,,X,,,,,,,,,,,,,,,X,
o12,,,,,,,,,,,,,,,,,,,
o13,,,,,,,,,,,,,,,,X,,,
o14,,,,,,,,,,,,,,,,,X,,
o15,,,,,,,,,,,,,,,,,,,
o16,,,,,,,,,X,,,,,,,,,,
o17,,,,,,,,,,,,,,,,,,,
o18,X,,,,,,,,X,,,,,,,,,,
o19,,,X,,,,,,,,,,,,,,,,
o20,X,,,X,,,X,,,,,,,,,,,X,
o21,,,,,,,,,,,,,,,,,,,
o22,,,,X,X,,,,,,,,,,,,,,
o23,,,,,,,,,X,,,,,,,,X,,
o24,,,,,,,,,X,,,,,,,,,,
o25,,,,,,,X,,,,,,,,,,,,
o26,,,,,,,,,,,,,,,,,X,X,
o27,,,,,,,,,X,,,,,,,,,,
o28,,,,,X,,,X,X,,,,,,,,,,
o29,,X,,,,,,,,,,,,,,,,,
o30,,,,X,,,,X,,,,,,,,,X,,X
o31,,,,X,X,,X,,,X,,,,,,,,,
o32,,,,X,X,,,X,,,,,,,,,,,
o33,,,,,,,,,,,,,,,,,,,
o34,,X,,X,,,,,,,,,X,,,,,,
o35,,,,,,,,,,,,,,,,,,,
o36,,,,,,,,,,,,,X,,,,,,
o37,,,,,,,,,,,,,,X,,,,,
o38,,,,,,,,,,,,,,,,,,,
