,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23
o0,,,,,,,,,,,,,,,,,,,,,,,,
o1,,,X,,,,,,,,,,,,,,,,,,,,,
o2,,,,,,X,,,,,,,,,,,,,,,,,,
o3,,X,,,,,,,,,,,,,,,,,,,,,,
o4,,,,,,,,,,,,,,,,,,,,,,,,
o5,,,,,,,,,,,,X,,,,,,,,,,,,
o6,,,,,,,,,X,,,,,,,,,,,,,,,
o7,,,,,,,,,,,X,,,,,,X,,,,,,,X
o8,,,,,,,,,,,,,,,,,,,,,,,,
o9,,,,,,,,,,,,,,,,,,,X,,,,,
o10,,,,,,,,,,,,,,,,,,,,X,,,,
o11,,,,,,,,,,,,,,,,,,,,,,,,
o12,,X,,,,,,,,,,,,,,,,,,,,,,
o13,,,,,,,,,,,,,,,,,,,,,,,,
o14,,,,,,,,,,,,,,,,,,,,,,,,
o15,,,,,,,,,,,,,,,,,,,,,,,,
o16,,,,,,,,,,,,,,,,,,,,,,,,
o17,,X,,,,,,,,,,,,,,,,,,,,,,
o18,,,,,,,,,X,,X,,,,,,,,,,,,,
o19,,,,,,,,,,X,,,,,,X,,,,,,,,
o20,,,,,,,,,,,,X,,,,,,,,,,,,
o21,,,,,,X,,,,,,,,,,,,,,,,,,
o22,,,,,,,,,,X,,,,,,,,,,,,,,
o23,,,,,,,,,,,,,,,,,,,,,,,,
o24,,,,,,,,,,,,,,,,,,,,,,,,
o25,,,,,,,,,,X,,,,,,,,,,,,,,
o26,,,,,,,,,X,,,,,,,,,,,,,,,
o27,,,,,,,,,,,,,,,,,,,X,,,,,
o28,,,,,,,,,,,,,,,,,,,,,,,,X
o29,,,,,,,,,,,,,,,,,,,,,,,X,
o30,,,,,,,,,,X,,,,,,,,,,,,,,X
o31,,,,,,,,,,,,,,,,,,,,,,,,
o32,,,,,,,,,,,,,,,,,,,,,,,,
o33,,,,,,,,,,,,X,,,,,,,,,,,,
o34,,,,,,,,,,,,,,,,X,,,,,,,,
o35,,,,,,,,,,,,,,,,,,,,X,,,,
o36,,,,,,,,,,,,,,,,,,,,,,,,
o37,,,,,,,,,,,,,,,,,,,,,,,,
o38,,,,,X,,,,,,,,,,,,,,,,,,,
o39,,,,,,,,,,,,,,,,,,,,,,,X,
o40,,,,,,,,,,,,,,,,,X,,,,X,,,
o41,,,,,,,,,,,,,,,,,,,,,,,,
o42,,,,,,,,,,,,,,,,,,,,,,,,
o43,,,,,,,,,,,,,,,,,,,,,,,,
o44,,,,,,,,,,,,,,,X,,,,,,,,,
o45,,,,,,,,,,,,,,,,,,X,,,,,,
o46,,,,,,X,,,,,,,,,,,,,,,,,,
o47,,,,,,,,,,,,,,,,,,,,,,,,
o48,,,,,,,,,,X,,,,,,X,,,,,,,,X
o49,,,,,,,,,,,,,,,,,,,,,,,,
o50,,,,,,,,,,,,,,,,,,,,,,,,
o51,,,,,,,,,,,,,,,,,,,,,,,,
o52,,,,,,,,,,,,,,,,,,,,,,,X,
o53,,,,,,,,,X,,,,,,,,,,,,,,,
o54,,,,,,,,,,,,,,,,X,,,,,,,,
o55,,,,,,,,,,,,,,,,,X,,,,,,,
o56,,,,,,,,,,,,,,,,,,X,,,,,,
o57,,,,,,,,,,,,,,,,,,,,,,,,
o58,,,,,,,,,,,,,,,,,,,,,,,,
o59,,,,,,,,,,,,,,,,,,,,,,,,
o60,,,,,,,,,X,,,X,,,,,,,,,X,,,
o61,,,,,,,,,,,,,,,,,,,,,,X,,
o62,,,,,X,,,,X,,,,,,,,,,,,,,,
o63,,X,,,,,,,,,,,,,,,,,,,,,,
o64,,,,,,,,,,,,,,,,,,,,,,X,,
o65,,,,,,,,,,,,,,,,,,,,,,,,
o66,,,,,,,,,,,,,,,,,,,,,,,,
