,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20
o0,,,X,,,,,X,,,,X,,,,,,,X,X,
o1,,,,,,,X,,,,,,,,,,,,,,
o2,,X,,,,,,,,,,,,X,,,,,,,
o3,,X,,,X,,X,,,,,X,,,,,,,,,
o4,,X,,,,,,,,,,,,,,,,,,,
o5,,,X,,,,,,,,X,,,X,,,,,,,
o6,,,X,,,,,,,,,,,,,,,,,,
o7,,,,,,,,,,X,X,,,,,,,,,X,
o8,,,,,,,,,,X,,,,X,,,,,,,
o9,,,,,,,,,X,,,,,,,,,X,,X,
o10,,,,,,,,X,,,,,,,,,,,,X,X
o11,,,,X,,X,,,,,,,,X,,,,,,,
o12,,,,X,X,X,X,,,,,,,,,,,X,,X,
o13,,,,,,X,,X,,,,,,,,,,,,,X
o14,,,X,,,,,X,,,X,X,,,,,X,,,,
o15,,X,X,X,,,,,,,X,,,X,,,,,,,
o16,,X,,,,,,,X,,,,,,,,,X,,,
o17,,,,X,,,,,,X,,,,,X,,,,,,
o18,,,,,,,,,,,,,,,,,,,,,
o19,,X,,,,,,,,,,,,,,,X,,,X,
o20,,,,X,X,,,,,,,,X,,,,,,,,
o21,,,,,,,,,,,,,X,,X,,,,,,
o22,,,X,,,,X,,,,,,X,X,,,X,,,,
o23,X,,,X,,,,X,,,,,,,X,,,,X,X,X
o24,,,X,,,,,,,,,X,,X,,,,,,,
o25,,X,,,,,,,,,,,,,,,,,,,
o26,,,,,,,,,,X,,,,,,,,,,,
o27,,,,,,,,,X,,,,,,,,,,,,
o28,,,,,,,,,,,,,,,,,,,,,
o29,,X,,,,,,,,X,,,,,,X,,,,,X
o30,,,,,,,,,,,,,,,,,,,X,,
o31,,,,,X,,,,,,,,,,,,,,,,
o32,,,,X,,,,,,,,,,,X,,,,,X,
o33,,,,,,,,,,,,X,,,,X,,,,,
o34,,,,,,,,,,,,,,X,,,,,,,
o35,,,,,,,,,,,,,,,,,,,,,
o36,,,X,,,,,X,,,,,,,,X,,,,,
o37,X,,X,,,,,,,,,,X,,,,,,,,
o38,,X,,,,,,,X,,,,,,,,,,,,
o39,,,,,,,,X,,,,,,X,,,,,,X,
o40,,X,,,,,,,,,X,X,,,,,,,X,,
o41,,,,,,X,,,,,,X,,,,,,,,,
o42,,,,,,,,,,,,,X,,,,X,,,,
o43,,,,,,,,,,,,,,,,,,X,X,,
o44,,,,,X,,,X,,,,,,,,,,,,,
o45,,,,,,,,,,,,,,,,X,,,,X,
o46,,,,,,,,X,,,,,,X,,,,,,X,
o47,,,,,,,,,,,,,,,,,,,,,
o48,,,,,,X,,,X,,,,,,X,,,X,X,X,
o49,,,,,,,X,,,,,,,X,,,,,X,,
o50,,,,,,,,,X,,,,,,,,,,,,
o51,X,,,,,,,,X,,,,,,X,X,,,,,
o52,,,,,,,,,,,,,,,,,X,,,,
o53,,,,,,,X,,,,,X,X,,,X,X,,,,X
o54,,,,,,,X,,,,,,,,,,,,,,
o55,,,,,,,,,X,,,,,,,,,,X,,
