,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9
o0,X,,,,,,,,,
o1,,,,,,,,,,
o2,,,,,,,,,,
o3,,,,,,,,,,
o4,,X,,X,,,X,,,
o5,,,,,,,,,,
o6,,,,,,,,,,
o7,,,,,,,,,,
o8,,,,,,,,,,
o9,,,,,,,,,,X
o10,,X,,,,,,,,
o11,,,,,,,,,,
o12,,,,,,,,,,
o13,,,,,,,,,,
o14,,,X,,,,,,,
o15,,,,,,,,,,
o16,,,,,,,,,,
o17,,,,X,,,,,,
o18,,,,,,,,,,
o19,,X,,,,,,,,
o20,,,X,,,X,,,,X
o21,,,,,,,,,,
o22,,,,,,X,,,,
o23,,,,,,,,,,
o24,,,,,,,,,,
o25,,,,,,,,,,
o26,,,,,,,,,,
o27,,,,,,,,X,,X
o28,,,,,,,,,,
o29,,,,,,,,,,
o30,,,,,,,X,X,,
o31,,,,,,,,,,
o32,,,,,,,X,,,
o33,,,,,,,,,,
o34,,,,,,,,,,
o35,,,,,,,,,,
