,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11
o0,,,,,X,,,,,,X,
o1,,X,,,,,,X,X,,,
o2,,X,,,,,,,,,,
o3,,,,X,,,,,,,,
o4,,,,,,,,,,,,
o5,,,,,,,,,,,,
o6,,,,,,,,,,,,
o7,,X,,,,,,,,,,X
o8,,,,,,,,X,,,,
o9,,,,,,,,,,,X,
o10,,,,,,,,,,,,
o11,,,,,,,,,,,,
o12,,,,,X,X,X,X,,,,
o13,,,,,X,,,,,,,
o14,,,,,,,,,,X,,
o15,,,,,,,,,X,,,
o16,,,,,,,,,,,,
o17,,,,,,,,,,,,
o18,,,,,,,,,X,X,,
o19,,,,,,,,,,,,
o20,,,,X,,,,,,,,
o21,,,,,,,,,,,,
o22,,,,,,,X,,,X,,
o23,,,,,,,,,X,,,
o24,,,,,X,,,,,,,
o25,,,X,,,,,,,,,
o26,X,,,,,,,,,,,
o27,,,,,,,,,,,,
o28,,,,,,,,,,,,
o29,,,,,,,,,,,,
o30,,,,,,,,,,,,
o31,,X,X,,,,,,,,,
o32,,,X,,,,,,,,,
o33,,X,,,X,X,,,,,,
o34,,,,,X,,,,,,,
o35,,,X,,,,,,,,X,
o36,,,,,,,,,,,,
o37,,,X,,,,,,,,,
o38,,,,,,,,,,,,
o39,X,,,,,,,,,,,
o40,,X,X,,,,,,,,,
o41,,,,,,,,,,,,
