,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27
o0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o1,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,
o2,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,
o3,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,
o4,,,,,,,,,,,,,,,X,,,X,X,X,,,,X,,,,
o5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o6,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
o7,,,,,,,,X,,,,,X,,,,,,,,,,,,,,X,
o8,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,
o9,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
o10,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
o11,,,,,X,,,,,,,,,X,,,,X,,,,,,,X,,,X
o12,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
o13,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,
o14,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
o15,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
o16,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
o17,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
o18,,,,,X,,X,,,,,,,,,,,,,,X,,,,,,,
o19,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,
o20,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,
o21,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,
o22,,X,,,,,,,,,,,,,,,,,,,X,,,X,,,,
o23,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
o24,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
o25,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
o26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o27,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,
o28,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,
o29,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
o30,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
o31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o32,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
o33,,,,X,,,,,,,,,,,,,,,,X,,,,,,,X,
o34,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
o35,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
o36,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,
o37,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
