,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17
o0,,,,,,,,,,,,,,,,,,
o1,X,,,,,,,,,,,,,,,,,
o2,,,,,,,,,,,,,,,,,,X
o3,,,X,,,,,,,,,,,,,,,
o4,,,,,,,,,,X,,,,,,,,
o5,,X,,,,,,,,,,,,X,X,,X,
o6,,,,,,,,X,,,,,,,,,,
o7,,,,,,,,,,,,,,,,,,
o8,,,X,,X,,,,,,X,,,,,,,
o9,,,,,,,,,,,,,,,,,,
o10,,,,,,,,,,,,,,,,,,
o11,,,,,,,,,,,,,,,,,,
o12,,,,,,,,,,,,,,,X,,,
o13,,,X,,,X,,,,,,,X,,,,X,
o14,,,,,,,,,,,,,,,,,,
o15,,,,,,,,,,,,,,,,,,
o16,,,,,,,,,,,,,,,,,,
o17,,,,,,,,,,,,,,,,,,
o18,,,,,,,,,,,,,,,,,,
o19,X,,,,,,,,,,,,,,,,,
o20,,,,,,,,,,,,,,,,,,
o21,,,,,X,,,,,,,,,,,,,
o22,,,,,,X,,,,,,,,,,,,
o23,,,,,,,,X,,,,X,,,,,,
o24,,,,,,,,,,,,,,,,,,
o25,,,,,X,X,,,,,,,,,,,,
o26,,,,,,,,,,,X,,,,,,,
o27,,,,,,,,,,,,,X,,,,,
o28,,X,,,,,,,,,,,,,,,X,
o29,,,,,,,,,,,,,,,,,,
o30,,,,,,,,,,X,,X,,,,,,
o31,X,,,,,,,,,,,,,,,,X,
o32,,,,,,,,,,,,,,,,,,
o33,,,,X,,,,,,X,,,,,,,,
o34,,,,,,,,,,,,,,,,,,
o35,,,,,,,,,,,,,,,,,,
o36,,X,,,,,X,X,,X,,,,,,,,
o37,,,,,,,,,,,,,,,,,X,
o38,,,,,,,,,,,,,,,X,,,
o39,,,,,,,,,,,,,,,,,,
o40,,,,,,,X,,,,,,,,X,,,
o41,,,,,,,,,,,,,,,,,,
o42,,,,,,,,,,,,,,X,,X,,
o43,,,,X,,,,,,,,,,,,,,
o44,,,,,,,,X,,,,,,,,,,
o45,,,,,,,,X,,,,,,,,,,
o46,,,,,,,,,,,,,,,,X,,
o47,,X,,,,,,,,,,,,,,,,
o48,,,,,,,X,,,,,,,,,,,X
o49,,,,,,,,,,,,,,,,,,
o50,,X,,,,,,,,,,,,,,,,
o51,,,,,,,,,,,,,,,,,,
o52,,,,,,,,,,,,,,,,,,X
o53,,,,,,,X,X,,,,,,,X,,,
o54,,,,,,,,,,,,,,,,,,X
o55,,,,,,,,,,,,,,,,,,
o56,,X,,,,,,,,,,,,,,,,
o57,,,,,,,,,,,,,,,,,,
o58,,,,,,,,,,,,,,,,,X,
o59,,,,,,,,,,,,,,,,,,
o60,X,,,,,,X,,,,,,,,X,,,
o61,,,,,,,,,,,,,,,,,,
o62,,,,,X,,,X,,,X,,,,,,,
o63,,,,,,,X,,,,,,,,,,,
o64,,,,,,,,,,,,,,,,,,
o65,,,,,,X,,,,,,,,,,,,
o66,,,,,,,,,,,,,X,,X,,,
o67,,,,,,,,X,,,,,,,,,,
