,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15
o0,,,X,,,,,,,,,,,,,
o1,,,,,,,,,,,,,,,X,
o2,,,,,,,,,,,,,,,,
o3,,,,,,X,,,,,,,,,X,
o4,,X,,,,,,X,,,,,,,,
o5,,,,,,,,,,,,,,,,
o6,X,,,,,,,,,X,,X,,,,
o7,,,,,,,,,,,,X,,X,,
o8,,,,,,,,,X,X,,,,X,,
o9,,,,,,,,,,,,,,,,
o10,,,,,,,,X,,,,,,,,
o11,,,,,,,,,,,,,,,,
o12,,,,,X,,,,,,,,,,,
o13,X,,,,,,,,,,X,,,,,
o14,,,,,,,,,,X,,,,,,
o15,,,,,,,,,,,,,,,X,
o16,,,,X,,,,,,,,,,,,
o17,,,,,,,,,,,,,,,,
o18,,,,,,,,,,,,,,,,
o19,,,,,,,,,,,,,,,,
o20,,,,,,X,,,X,,,,,,,
o21,,,,,,,,,,,,,,X,,
o22,,,,,,,,,,,,,,,,
o23,,,,,,,,,,,,,,,,
o24,,,,,,,,,,,,,,,,
o25,,,,,,X,,X,,,,,,,X,
o26,,,,,,,,,,,,,,,,
o27,,,X,,,,,,,,,,,,,
o28,,,,,,,,,,,,,,,,
o29,,,,,,,,,,X,,,,,,
o30,,,,,,,X,,,,,,,,,
o31,,,,,,,,,,X,,,,,X,
o32,,,X,X,,,,,,,,,,,,
o33,,,,,,,,,,,,,,X,,
o34,,,,,,,,X,,,,,,,,
o35,,,,,,,,,,,X,,,,X,
o36,X,,,,,,,,,,,X,,,,
o37,,,X,,,,,,,,,,,,,X
o38,,,,,,X,,,,,X,,,,,
o39,,,,,,,,,,X,,,,,,
o40,,,,,,,,,,,,,,,,
o41,X,,,,,,,,,,,,,,,
o42,,,,,,,,,,,,,,,,
o43,,,X,,,,,X,,,,,,,,X
o44,,,,,,,,,,,,,X,,,
o45,,,,,,X,,,,,X,,,,,
o46,,,,X,,,,,,,,,,,,
o47,,X,,,,,,,,,,,,,,
o48,,,,,,,,,,,,,,,,
o49,,,,,,,,,,,,,,,,
o50,,,,,,,,,,,,,,,,
o51,,,,,,,,,,,,,,,,
o52,X,,,,,,,,,,,,,,,
o53,,,,,X,,,,,,,,X,,,
o54,,,,,,,,,X,,,,,,,
o55,,X,,,,,,,,,,,,,,
o56,,,,,,,,,,,,,,,X,
o57,,,,,,,,,,,,,,,,
o58,,,,,,,,,,,,,,,,
o59,,X,X,,,,,,,,,,,,,
