,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12
o0,,,X,,,,,,,,,,
o1,,,,,,,X,X,,,,,
o2,,,X,,,,,,,,,,
o3,,,,,,,,,X,,,X,
o4,,,,,,,,,,,,,
o5,,,X,,,,X,,,,,,
o6,X,,,,,,,,,,,,
o7,,,,,,,,,,,,X,
o8,X,,,,,,,,,,,,
o9,,,,,,,,,,,,,
o10,,,,,,,,,,,,,
o11,,,,,,,,,,,X,,
o12,,,,X,X,,,,,X,,,
o13,,,,,,,,,,,,,
o14,,,,,,,,,,,,,
o15,,,,,,,,,,,,,
o16,,,,,,,,,,,,,
o17,,,,,,,,,,,,,X
o18,,X,,,,,,,,,,,
o19,,,,,,,,,,,,,
o20,X,,,,,,X,,,,,,
o21,,,,,,,,,,,,,
o22,,,X,,,,,,,,,,
o23,,,,,,,,,,,,X,
o24,,,,,,,X,,,,,,
o25,,,,,,,,,,,,,
o26,,,,,,,,,,,,,
o27,X,,,,,,,X,,X,,,
o28,,,,,,,,,,,,,
o29,,,,,,,,,,,,X,
o30,,,,,,,X,,,,,,
o31,,,,,,,,,,,,,
o32,,X,,,,X,,,X,,,,
o33,,,X,,,,,,,,,,
