,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17
o0,,,,X,,,,,,,,,,,X,X,,
o1,,,,,X,,,,,X,,,,,X,,,
o2,,,,,,X,X,,,,,,X,,,,,
o3,,,,,,,,,,,,,,,X,,,X
o4,,,,,,,,,,X,,,,,,,,X
o5,,,,X,,,,X,,,,,,X,,,,
o6,,,,,,,,,,,,,,,,,X,X
o7,,X,,X,,,,,,,,,,,,,,
o8,,,,,,,,X,,,,,X,,,,,
o9,,,,,,,,X,,,,,,,,,,
o10,,,,X,,,X,,,,,X,,,,,,X
o11,,,,,,,X,,,,X,,,,,,,
o12,,,,,,,,,,,,,,,,,,
o13,,,,X,,,,,X,,,,,,,,,
o14,,,,,,,,,,,,,,X,,,,
o15,,,,,,,,,,X,,X,,,,,,
o16,,,,,,,,,,,,,,,,,,
o17,,X,,X,X,,,,,,,X,,,,,,
o18,,,,,,,,,,X,,,,,,,,
o19,,,,,,,,,,,,,,X,,,,
o20,X,,,,,,X,,,,,,,,,,,
o21,X,X,,,,,,,,,,,,,,,,
o22,,,,,,,,,X,,,,,,,,,
o23,X,,,,,,,,,,,,,,,,,
o24,,,,,,,,,,,,,,,,,,
o25,X,,,,,,,,,,X,,,,,,,X
o26,,,,,,,,,,X,,,,,,,,
o27,,,,,,,,X,,X,,,,,,,,
o28,,,,,,,,,,,,,X,,,,,
o29,,,,,,X,,,,X,,X,,,,,,
o30,,,,,,,X,,,,,,,,,,,
o31,,,,,,,X,,,,,,,,,,X,
o32,X,,X,,,,,,X,,,,,,,,,
o33,,,X,,,,,,,,,,,X,,,,
o34,,X,,,,,,,,,,,,X,,,X,
o35,,,,X,,,,,,,,,,,X,,,
o36,,,,,,,,,,,,,,X,,,,
o37,,,,,,X,,,,,,,X,,,,X,
o38,,,,,,,X,,X,,,,,,X,,,
o39,,,,,,,,,,,,,,,,X,,
o40,,,,,,,,,,,,,,,,X,X,
o41,,,,X,,,,,,,,,,,,,,X
o42,,,,,,,,,,,,,,,,,,
o43,,,,,,,,,,,,,,,,,,
o44,,,,,,,,,,,,,,X,,,,
o45,,,,,,,,,,,,,,,,,,
o46,,,,,,,X,,,,,X,,X,,,,
o47,,,,,X,,,,,,,,X,,,,,
o48,,,,,,,,,,,,,,,,,,
o49,,,,,,,,,,X,X,X,,,,,X,
o50,X,,X,X,,,,,,,,,,,,,,
o51,,X,,,,,,X,,,,,X,X,,,,
o52,,,,,,,,,,,,,,,,X,,X
o53,,,,X,,,,,,,,,X,,,,,
o54,,,,,,,,,X,,,,X,,,,,
o55,,,,,X,,,X,,,,,,,,,,
o56,,,,,,,,,,X,,,,,,,,
o57,,,,,,,,,,,,,,X,X,,,X
o58,,,,,,,,,,,,,,,,,,
o59,,,,,,,,,X,,,,,,,,,
o60,,,,,,,,,,,,,,,,,,
o61,,,,,,X,,,,,,X,,,,,,
o62,,,,,,,,,,,,,,,,,,
o63,,,,,,,,,,,,,,,,,,
o64,,,,,,,,,,,,,,,,,,
o65,,,,,,,,,,,,,,,X,,,
o66,X,,,,,,,,,,,X,,,,,,X
o67,X,,,,,,,,,,X,,,,,X,,
o68,X,X,,,,,,,,,,,,,,,,
