,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14
o0,,,,,,,,,,,,,,,
o1,,,,,,,,,,,,,,,
o2,,,,,,,,,,,,,,,
o3,,,,,,,,,,,,,,,
o4,,,,,,,,,,,,,,,
o5,,,,X,,,,,,,,,,,
o6,,,,,,,,,,,,,,,
o7,,,,,,,,,,,,X,,,
o8,,,,,,,,,,,,,,,
o9,,,,,,,,,,,,X,,,
o10,,,,,,,,,,,,,,,
o11,,,,,,,,,,,,,,,
o12,,,,,,,,,,,X,,,,
o13,,,,,,,,,,,,,X,,
o14,,,,,,,,,,,,,,,
o15,,,,,,,,,,,,,,,
o16,,X,,,,,,,,,,,,,
o17,,,,X,,,,,,,,,,,
o18,,,,,,,,,,,,,,,
o19,,,,,,,,,,,,,,,
o20,,,,,,,,,,,,,X,,
o21,,,,,,,,,,,,,,,
o22,,,,,,,,,,,,,,,
o23,,,,,,,,,,,,,,,
o24,,,,,,,,,,,,,,,
o25,,,,,,,,,,,,,,,
o26,,,,,,,,,,,,,X,X,
o27,,,,,,,,,,,,,,,
o28,,,,,,,,,,,,,,,
o29,,,,,,,,,,,,,,,
o30,,,,,,,,,,,,X,,,
o31,,,,,,,,,,,,,,X,
o32,,,,,,,,,X,,,,,,
o33,,,,X,,,,,,,,,,,X
o34,,,,,,X,,,,,,,,,
o35,,,,,X,,,,,,,,,,X
o36,,,,,,,,,,,,,,,
o37,X,,,,,,,,,,,,,,
o38,,,,,,,,,,,,,,,
o39,,,,,,,,,,,,,,,
o40,,,,,,X,,,,,X,,,,
o41,,,,,,,,,X,,,,,,
o42,,,,,,,,,,,,,,,
o43,,,,,,,,,,,,,,,
o44,,,,,,,,,,,,,,,
