,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15
o0,X,,,,,,,,,,,,,,,
o1,X,,,,,,,,,X,,,,,,
o2,,X,,,,,,,,,,,,X,,
o3,,,,,,,X,,,,,,X,,,
o4,,,,X,,,,,,,,,X,,,
o5,,,,,X,,,,,,X,X,,,,
o6,,X,,,,,,,,,X,X,X,,,
o7,,,,,,,X,,,,,,X,,,
o8,,X,,,,,,,,,,,X,,,
o9,X,,,,,,,,,X,,,,X,,
o10,,,,X,,X,,,,X,,,,,,
o11,,,,X,,,,,,,,,,X,,X
o12,,,,,,X,X,,,X,,,,,,
o13,,,,X,,,,,,,,,,,,
o14,X,X,,,,,,,,X,,,,,,
o15,,,,,,,,,,X,X,,,,,X
o16,,,,,,,,,,X,,,,,X,
o17,,,,,,,,,,,,,,,,
o18,,,,,,,,,,,,,,,,X
o19,,,,,,,,X,X,,,,,X,,
o20,,X,X,,,,,,,,,X,,,,
o21,,,,,,,,X,,X,,,,X,,X
o22,,,,,,,,X,,,X,X,,,,
o23,,X,,,,,,X,,,,,,,,
o24,X,,,,,,,,,,X,,,,,
o25,,X,,X,,,,,,,,,,X,X,
o26,X,,,X,,,,,,,,,,,,
o27,,,,,,,,,,,,,,,X,
o28,X,,,,,,,,,,X,,X,,X,
o29,,X,,,,,,,,,X,,,,,
o30,X,,,,,,,X,X,,X,X,,,,
o31,,,,,,,,,,X,X,,,,,
o32,,,,,,,,,,,,,,,,
o33,X,,X,,,,,,X,,,,,,,X
o34,X,X,,X,,,,,,,,X,,X,,
o35,,,,,X,,X,,,,,,X,,,
o36,,,,,,,,,,,,,,,X,X
o37,,X,,,,,X,,,X,,,X,,,
o38,,X,X,,,,,,,X,X,,,,,
o39,,,,,X,,X,,,,,,,,,
o40,X,X,,X,,,,,,,X,,,,,
o41,,,X,,,,,X,X,X,,,,,,
o42,X,,,,X,,,,,,,,,,,
o43,,,,X,,,,X,,,,X,,,,
o44,,,,,X,,,,,,,,,,X,
o45,,,,,,,,,,,,,,X,,
o46,,,,,,,,X,,X,,X,,,,
o47,X,,,,,X,,,,X,,,X,,,
o48,,,X,,,X,,X,,X,,,,,,
o49,,,,,,,,X,,,,,,,,
o50,,,X,,,,,,X,,,,,,,
o51,,,,,,,,,,,,,,,,
o52,,,,,,,X,,,,,,,X,X,
o53,,,,,,,,X,X,,,X,,,,X
o54,,,,,,,,,,X,,X,,,,
o55,,,,X,,,,,,,,,,,,
o56,,,,,,,,,,,,,,,,
o57,,,,,,,,,,,X,,,,,
o58,,X,,,,,,,,,,X,,,,
o59,,,X,,,,,,,,X,,,X,X,X
o60,,,,,,,,,,,,,,,,
o61,,X,X,,X,,,X,,,X,,,,X,
o62,,,,,,,,,,,,,X,,,
o63,X,,,X,,,,,,,,,,,,
o64,,,,,,X,,,,,,,X,,,X
o65,,,,,,,,,,,,,,,,
