,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13
o0,X,,,,,,X,,,,,X,,
o1,,,X,,,,,,,,,,,
o2,,,,,X,,,,,,,,,
o3,,,,,,,,,,,,,,
o4,X,,,,,,,,,,X,,,
o5,,,,,,,,,,,,,,
o6,X,,,X,,X,,,,,,,,
o7,X,,,,X,,,,,X,,,X,X
o8,,,,,,,,,X,,,X,,
o9,,,,,,,,,,,,,,
o10,,,,,,,,,,,,,,X
o11,,,,,,,,,,,,,X,
o12,,,,,,,,,,,,,,
o13,,,,,,,X,,,,,,,
o14,,,,,,,,,,,,,,
o15,,X,,,,,,X,,,,,,
o16,,,,,,,,,,,,,,
o17,,,,,,,,,,,,,,
o18,,,,,,,,,,,,,,
o19,,,,,,,,,,,,,,
o20,,,,,X,,,,,,,,,
o21,,,,,,,,,,,,,,
o22,,,X,,,,,,,,,,,X
o23,,,,,,,,,,,,,,
o24,,,,,,,,,,,X,,X,
o25,,,,,,,,,,,,,,
o26,X,X,,,,,,,,,,,,
o27,,,,,,,,X,,,,,,
o28,,,,,,,,,,,,,,
o29,,,,,,,,,,,,,,
o30,,,,,,,,,,X,,,,
o31,,X,,,X,,,,,,,,,
o32,,,,,,,,,,,,,,
