,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27
o0,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
o1,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
o2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o3,X,,,,,,,,,,,,,,,,,,,X,X,,,,,,,
o4,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,
o5,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
o6,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
o7,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,
o8,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,
o9,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
o10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o11,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
o12,,,,,,,,,,,,,,,X,,,,,,,,,,,,,
o13,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
o14,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,
o15,,,,,,,,,,X,,,X,X,,,,,,,,,,,,,,
o16,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,
o17,,,,,,,,,,X,,,,,,,,,,X,,X,,,,,,
o18,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,
o19,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,
o20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o21,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,
o22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o23,,,,,,X,,,,,,,X,,,,,,,,,,,,X,,,
o24,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
o25,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,
o26,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,
o27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o28,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,
o29,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
o30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o33,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X
o34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o35,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
o36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o37,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
o38,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
o39,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
o40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o41,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,
o42,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,X
o43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o44,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,
o45,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
o46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o48,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
o49,,,,,,,,,,,,,,,,,X,,,,,,,,,,,X
o50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o51,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
o52,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,
o53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o55,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,
o56,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,
o57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o58,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
o59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o60,X,,X,,X,,,,,,,,,,X,X,,,,,,,,,,,,
o61,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
o62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o63,,,,,,,,,,X,,,,X,,,,,,,,X,,,,,,
o64,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,
o65,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
o66,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
o67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
