,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17
o0,,,,,,,,,,,,,,,,,,X
o1,,,,,,,,,,,,,,,,,,
o2,,,,,,,,,,,,,,,,,,
o3,,,,,,,,,,,,,,,,,,
o4,,,,,,,,,,,,,,,,,,
o5,,,,,,,,,,,,,,,,,,
o6,,,,,,,,,,,,,,,,,,
o7,,,,,,,,,,,,,,,,,,
o8,,,X,,,,,,,,,,,,,,,
o9,,,,,,,,,,,,,,,,,,
o10,,X,,,,,,,,,,,,,,,,
o11,,,,,,,,,,,,,,,,,,
o12,,,,,,,,,,,,,,,,,,
o13,,,,,,,,,,,,,,,,,,
o14,,,,,,,,,,,,X,,,,,,
o15,,,,,,,,,,,,,,,,,,
o16,,,,,,,,,,,,,,,,,,
o17,,,,,,,,,,,,,,,,,,
o18,,,,,,,,,,,,,,,,,,
o19,,,,,,,,,,,,,,,,,,
o20,,,,,,,,,,,,,,,,,,
o21,,,,,,,,,,,,,,,,,,
o22,,,,,,,,,,,,,,,,,,
o23,,,,,,,,,,,,,,,,,,
o24,,,,,,,,,,,,,,,,,,
o25,,,,X,,,,,,X,,,,,,,,
o26,,,,,,,,,,,,,,,,,,
o27,,,,,,,,,,,,,,,,,,
o28,,,,,,,,,,,,,,,,,,
o29,,,,,,,,,,,,,,,,,,
o30,,,,,,,,,,,,,,,,,,
o31,,,,,,,,,,,,,,,,,,
o32,,,,,,X,,,,,,,,,,,,
o33,,,,,,,,,,,,,,,,,,
o34,,,,,,,,,,,,,,,,,,
o35,,,,,,,,,,,,,,,,,,
o36,,,,,,,,,,,,,,,,,,
o37,,,,,,,,,,,,,,,,,,
o38,,,,,,,,,,,,,,,,,,
o39,,,,,,,,,,,,,,,,,,
o40,,,,,,X,,,,,,,,,,,,
o41,,,,,,,,,,,,,,,,,,
o42,,,,,,,,,,,,X,,,,,,
o43,,,,,,,,,,,,,,,,,,
o44,,,,,X,,,,,,,,,,,,,
o45,,,,,,,,,,,,,,,X,,,
o46,,,,,,,,,,,,,,X,,,,
o47,,,,,,,,,,,,,,,,,,
o48,,,,,,,,,,,,,,,,,,
o49,,,,,,,,,,,,,,,,,,
o50,,,,,,,,,,,,,,,,,,
o51,,,,,,,,,,,,,,,,,,
o52,,,,,,,,,,,,,,,,,,
