,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15
o0,,,,X,,,,,,,,,,,,
o1,,,,,,,X,,,,,,,,,
o2,,,,,,,,,,,,,,,,
o3,,,,,,,,,,X,X,,,,X,
o4,,,,,,,,,,,,,,,,
o5,,,,,,,,,,,,,,,,
o6,,,X,,,,,,X,,X,,,,,
o7,,,,,,,,,,,,,,,,
o8,,,,,,,,,,,,,,,,
o9,,,,,,,,,,,,,,,,
o10,,,,,,,,,,,X,,,,,
o11,,,,,,,,,,,,,,,,
o12,,,,,,,,,,,,,,,,
o13,,X,,,,,,,,,,,,,,
o14,,,,X,,,,,,,X,,,,,
o15,,X,,,,,,,,,,,,,,
o16,,,X,,X,,,,,,X,,,,,
o17,,,,,,,,,,,,,,X,,
o18,,,,,,,,,,,,,,,,
o19,,,,,,,X,,,,,,,,,
o20,,,,,,,,,,,,,,,,
o21,,,,,,,,,,,,,,,,
o22,,,,,,,,,,,,X,X,,,X
o23,,,,,,,,,,,,,,,,
o24,,,,,,,,,,,,,,,,
o25,,,,,X,,,,,,,,,,,
o26,,,,X,,,,,,,,,,,,
o27,X,,,,,,,,,,,,,,,
o28,,,X,,,X,X,,,,,,,,,
o29,X,,,,,,,X,,,,,,,,
o30,,,,,X,,,,,,,,,,,
o31,,,,,,,,,X,,,,,,,
o32,,,,,,,,,,X,,,,,,
o33,,,,,,,,,,,,,,,,
o34,,,,,X,,,,,X,,,,,,
o35,,,,,,X,,X,X,,,,,,,
o36,,,,,,,,,,,X,,,,,
o37,,X,,,,,,,,,,,,,,
o38,,,,,,,,,,,,,,,,
o39,,,,,,,,,,X,X,,,,,
o40,,,X,,X,,,,,,,,,X,,
o41,X,,,,X,,,,,,,,,,,
o42,,,,,,,,,,,,,,,,
o43,,,,,,,,,,,X,,,,,
