,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24
o0,,,,,,,,,X,,,,,,,,,,,X,,,,X,
o1,,,,,,,,,,,,,,,,,,,,,,,X,,
o2,,,,,,,,,,,,,,,,,,,,,X,,,,
o3,,,,,X,,,,X,,,,,X,,,,,,,X,,X,,
o4,,,,,,,,,,,,,,,,,,,,,X,,,,
o5,,,,,,,,,,,X,,X,,,,,,,,,,,,
o6,,,,,X,,,X,,,,X,,,,,X,,,,,X,,,
o7,,,,,,X,,,,,,,,,,X,,,,,,,,,
o8,,,,,,,,,,X,X,,,,,,,,,,,,X,,
o9,,X,,X,,,,,,,,,,,,,,,,,,,,,
o10,,,,,,,,X,,,,,,,,X,,X,,,,,,,
o11,,,X,,,,,,,,,,,,,,,,,,,,,,
o12,,,,,,,,,,,,,,,,,,,,,,,,,
o13,,,,,,,,,,,,,,,,,,,,,,,,,
o14,,,,,,,,X,,,,,,,,,,,,,,,X,,
o15,,,,,,,,,,,,,,,,,,X,,,,,,,
o16,,,,,X,,,,,,,,,,,,,,,,,,,,
o17,,,,,,,,,,,,,,,,X,,,,,X,,,,
o18,,,,,,,,,,,,,,,,,,,,,,,,,
o19,,,,,,,,,,,,,X,,,,,,,,,,,,
o20,,,,,,,,,,,,,,,,,X,,,,,,,,
o21,,,,,,,X,,,,,,,,,,,,,,,,,,
o22,,,,,,,,,,X,,,X,,,,,X,,,,,,,
o23,,,,,,,,,,,,,X,,,,,,,,,,,,
o24,,X,,,,,,,,,,X,,,,,,,,,,,,,
o25,,,,,,X,,,,,,,,,,,,,,,,,,X,
o26,,,,,,,X,,,,,,,,,,,,,,,,,,X
o27,,,,,,,X,,,,,,,,,,,,,,,,,,
o28,,,,,,,,,,,,,,,,,,,,,,,,,
o29,,,,,,,,,,,,,,,,,,,,,,,,,
o30,,X,,,,,X,X,,X,,,,,,,,,,,,,,,
o31,,,,,,,X,,,,,,,,,,,,,,,,,,
o32,,,,X,,,X,,,,,,,,,,,,,X,,,,,
o33,,X,,,X,,,,,,X,X,,,,,,,,X,,,,,
o34,,,,,,,,,,,,,,,,,,,X,,,,,,
o35,,,,,,,,,,,,,,,,,,,,,,,X,,
o36,,,,,,,,,,,,,,X,,,X,,X,,,,,,
o37,,,,X,,,,,,,,,,X,X,,X,,,,,,,,
o38,,,,,,X,,,,,,,,,X,,,,,,,,,,
o39,,,,,,,,X,,,,,,,,,,X,,,,,,,
o40,,,X,,,,,,,,,,,X,,,,,,,,,,,
o41,,,,,,,,,,,,,,,,,,X,,,,,,,
o42,,,,,,,,,,,X,,,,,,,,X,,,,,,
o43,,,,,,,,,,,,,,,,,,,,,X,,,,
o44,,,,,,,,,,,,,,,,,,,,,X,,,,
o45,,,,,X,,,X,,X,,,,,,,,,,,,,,,
o46,,,,,,,X,,,,,,X,,,,,,,,,,,,
o47,,,,,,,,,,,,X,,,,,,,,,,,,,
o48,,,,,,,,,,X,,,,,X,,,,,,,,,,
o49,,,,,,,,,,,,,X,,,,,,,,,,,,
o50,,,,X,,,,,,,,,,X,,,X,,,,,,,,
o51,,,,X,,X,,,,,,,,,,,,,,,X,,,,
o52,,,,,,X,,X,,,,,,,,,,,,,X,,,,
o53,,,,,,,,X,X,,,,,,,,,,,,,,,,
o54,,,,,,,,,,,,,,,,,,,,,,,,,
o55,,X,,,,,,,,,,,,,,,,,,X,,,,,
o56,,,,,X,,,,,,,,,,X,,,,,,,,,,X
o57,,,,,X,X,,,,,,,,,,,,,,,,,,,
