,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15
o0,,,,,X,,,,,,,,,,,
o1,,,,,,,,,,,,,,,,
o2,,,,X,,,X,,,,,,,,X,
o3,,,,,,,,,,,,,,,,
o4,,,,,,,,,,,,,,X,,
o5,,,,,,,,,,,,,,,,
o6,,,,X,,,,,,,,,X,,,
o7,,,,,,,X,,,,,,,,,
o8,,,,,,,,,,,,,,,,
o9,X,,,,,,,,X,,X,,,,,
o10,,,,,,,,,,,,,,,,
o11,,,,,,,X,,,,,,,,,
o12,,,,,,,,,,,,,,,,
o13,X,,,,,X,,,,,,,,,,
o14,,,,,,,,,,,,,,,,
o15,,,,,,,,,,,,,,,,
o16,,,,,,X,,,,,,,,,,
o17,,,,,,,,,,,,,,,,
o18,,,X,,,,,,,,,,,,,
o19,,,,,,,,,,,,,,,,
o20,,,,,,,,,X,,,,,,,
o21,,,,,,,,,,,,,,,,
o22,,,,,,,,,,,,,,,,
o23,,,,,,,,,,,,,,X,,
o24,,,,,,,,,,,,,,,,
o25,,,,,,,X,,,,,,,,,
o26,,,,X,,,,,,,,,,,,
o27,,,,,,,,,,,,,,,,
o28,,,,,,,,X,,,,,,X,,
o29,X,X,,,,,,,,,,,,,,
o30,,,,,,,,X,,,X,,,,,
o31,,,,,,,,,,,,,,X,,
