,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26
o0,,,,,,,,,,,,,,,,,,,,,,,,,,,
o1,,,,,,,,,,,,,,,,,,,X,,,,,,,,
o2,,,X,,,,,,,,,,,,,,,,,,,,,,,,
o3,,,,,,,,,,,,,,,,,,,,,,,,,,,
o4,,,,,,,X,,,,,,,,,,,,,,,,,,,,
o5,,,,,,,,,,,,,,,,,,,,,,,,,,,
o6,,,,,,,,,,,,,,,,,,,,,,,,,,X,
o7,,,,,,,,,,X,,,,,,,,,,,,,,,,,
o8,,,,,,,,,,,,,,,,,,,,,,,,,,,
o9,,,,,,,,,,,,,,,,,,,,,,,,,,,
o10,,,,,,,,,,,,,,,,,,,,,,,,,,,
o11,,,,,,,,,,,,,,,,,,,,,,,,,,,
o12,,,,,,,,,,,,,,,,,,,,,,,,,,,
o13,,,,,,,,,,,,,,,,,,,,,,,,,,,
o14,,,,,,,,,,,,,,,,,,,,,,,,,,,
o15,,,,X,,,,,,,,,,,,,,,,,,,,,,,
o16,,,,,,,,,,,,,,,,,,,,,,,,,,X,
o17,,,,,,,,,,,,,,,,,,,,,,,,,,,
o18,,,,,,,,,,,,,,,,,,,,,,,,,,,
o19,,,,,,,,,,,,,,,,,,,,,,,,,,,
o20,,,,,,,,,,,,,,,,,,,,,,,,,,,
o21,,,,,,,,,,,,,,,,,,,,,,,,,,,
o22,,,,,,,,,,,,,,,,,,,,,,,,,,,
o23,,,,,,,,,,,,,,,,,,,,,X,,,,,,
o24,,,,,,,,,,,,,,,,,,,,,,,,,,,
o25,,,,,,,,,,,,,,,,,,,,,,,,,,,
o26,,,,,,,,,,,,,,,,,,,,X,,,,,,,
o27,,,,,,,,,,,,,,,,,,,,,,,,,,,
o28,,,,,,,,,,,,,,,,,,,,,,,,,,,
o29,,,,,,,,,,,,,,,,,,,,,,,,,,,
o30,,,,,,,,,,,,,,,,,,,,,,,,,,,
o31,,,X,,,,,,,,,,,,,,,,,,,,,,,,
o32,,,,,,,,,,,,,,,,,,,,,,,,,,,
o33,,X,,,,,,,,,,,,,,,,,,,,,,,,,
o34,,,,,,,,,,,,,,,,,,,,,,,,,,,
o35,,,,,,,,,,,,,,,,,,,X,,,,,,,,
o36,,,,,,,,,,,,,,,,,,,,,,,,,,,
o37,,,,,,,,,,,,,,,,,,,,,,,,,,,
o38,,,,,,,,,,,,,,,,,,,,,,,,,,,X
o39,,,,,,,,,,,,,,,,,,,,,,,,,,,
o40,,,,,,,,,,,,,,,,,,,,,,,,,,,
o41,,,,,,,,,,,,,,,,,,,,,,,,,,,
o42,,,,,,,,,,,,,,,,,,,,,,,,,,,
o43,,,,,,,,,,,,,,,,,,,,,,,,,,,
o44,,,,,,,,,,,,,,,,,,,,,,,,,,,
o45,,,,,,,,,,,,,,,,,,,,,,,,,,,
o46,,,,,,,,,,,,,,,,,,,,,,,,,,,
o47,,,,,,,,,,,,,,,,,,,,,,,,,,,
o48,,,,,,,,,,,,,,,,,,,,,,,,,,,
o49,,,,,,,,,,,,,,,,,,,,,,,,,,,
o50,,,,,,,,,,,,,,,,,,,,,,,,,,,
o51,,,,,,,,,,,,,,,,,,,,,,,,,,,
