,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26
o0,,,,,,,,,,,,,,,,,,,,,,,X,,,,
o1,,,,,,,,X,,,,,,,,,,,,,,X,,,X,,
o2,,,,,,,,,,,,X,,,,,,,,,,,X,,,,
o3,,,,,,,,,,,,,,X,,,,,,,,,,,,,
o4,,,,,,,,,,,,,,,,,,,,,,,,,,,
o5,,,,,,,,,,,,,,,,,,,,,,,X,X,,,
o6,,,,,,,,,,X,,,X,,,,,,X,,,,,,,,
o7,,,,,,,,X,,,,,,,,,,,,,,,,,,,X
o8,,,,,,,,,,,,,,,,,,,,X,,X,,,,,
o9,,X,,,,,,,,,,,,,,,,,,,,,,,,,
o10,,,,,,,,,,,,,,,,,,,,,,,,X,,,
o11,,,,,,,,,,,,,,,,,,,,,,,,,,,
o12,,,,,,,,,,X,,,,,,,,,,,,X,,,X,,
o13,X,,,,,,,,,,,,,,,,,,,,,,,,,,
o14,,,,,,,,,,,,,,,,,,,,,,,X,,,X,
o15,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,
o16,,,,,X,,,X,,,,,,,,,,,,,,,,,,,
o17,,,,,,,,,,,,,,,,,,,,,,,,,X,,
o18,,,,,,,,,,,,,X,,,,,,,,,,,,,,
o19,,,,,,,,,,,,,,,,,,,,,,,,,,,
o20,,,,,,,,,,,,,,,,,,,,X,,,,,,,
o21,,,,,,,X,,,,,,X,X,,,,,,,,,,,,,
o22,,,,,,,,,,X,,,,,,,,,X,,,,,,,,
o23,,,,,,,,,,,,,,,,,,,,,,,,,,X,
o24,,,,,,,,,,,,,,,,,,,,,,,,,,,
o25,,,,,,,,,,,,,,,,,,,,,,,,,,,
o26,,,,X,,,,,,,,,,,,,,,,,,,,X,,,
o27,,,,,,,X,,,,,,,,,,,,,,,,,,,,
o28,,,,,,,,,X,,,,,,,,,,,,,,,,,,
o29,,,,,,,,,,,,,,,,,,,,,,,,,,,
o30,,,,,,,X,,,,,,,,,,,X,,,,,,,,,
o31,,,X,X,,,,,,,,,,,,,X,,,,,,,,,,
