,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
o0,X,,,,,,,,,,
o1,,,,,,,,,,X,
o2,,,,,,,,,,,
o3,,,,,,,,,,X,
o4,,,,,,,X,,,,
o5,,,,,,,,,,,
o6,,,,,,,,,,,
o7,,,,,,X,,,,,
o8,,,X,,,,,,,X,
o9,,,,,,,,,,,
o10,,,,,,,,,,,
o11,X,,X,X,X,X,,,,,X
o12,,,,,,,X,,,,
o13,,X,,,,,,,,,
o14,,,,,,,,X,,,
o15,,,,,,,,,,,
o16,,,,,,,,,,X,
o17,,,,,,,,,X,,
o18,X,,X,,,,,,,,
o19,,,,,,,,,,,
o20,,,,,,,,,,,
o21,,X,,,,,,,,X,
o22,,,,,,,X,,,,
o23,,,,,,,,,,,
o24,,,X,,,,,,X,,
o25,,,,X,,X,,X,,,
o26,,,,X,,,X,,,,
o27,,,X,,,,,,,,
o28,,,,,,,,X,,,
o29,,X,,,,,,,,,
o30,,,,,,X,,,,,
o31,,,,,,,,,,,
o32,,,,,,X,,,,,
o33,,,,,,,,,,,
o34,,,,,,,,,,,
o35,,,,,,,,,,,
o36,,,,,,,,,,,
o37,,,,,,,,X,,,X
o38,,,,,,,,,,,
o39,,,,,,,,,,,
